"RelativePath","FullPath","FileSizeBytes","ImportStatus","ImportError","RowCount","ColumnCount","Columns","HasTheoremID","HasFieldName","HasEntryAuthority","HasSourceFile","HasCsvRow","HasRecordIdentity","HasProposedValue","HasSourceReference","HasReviewStatus","HasCaseID","HasDependencyID","HasEvidenceID","HasAssessmentID","ControlledIDRows","CaseIDRows","GovernedCaseDesignRows","GovernedDependencyRows","PendingReviewRows","ApprovedRows","BlankProposedValueRows","SHA256"
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_FIELD_AUTHORITY_REGISTER.csv","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\MS-T1_T2_FIELD_AUTHORITY_REGISTER.csv","14941","PASS","","76","9","TheoremID | FileName | CollectionClass | Sequence | FieldName | IdentityField | EntryAuthority | Instruction | Required","True","True","True","False","False","False","False","False","False","False","False","False","False","25","5","14","6","0","0","0","0A8AC9C3E9A3EBD8F00C059E0DA97B92ED0734472AF7FE5094B16A8160F05E19"
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/PREEXECUTION_COMPLETION_WORKLIST.csv","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\MS-T1_T2_PREEXECUTION_COMPLETION\PREEXECUTION_COMPLETION_WORKLIST.csv","8944","PASS","","42","16","TheoremID | FileName | CsvRow | RecordIdentity | FieldName | EntryAuthority | CurrentValue | ProposedValue | SourceReference | CompletedBy | CompletedAt | ReviewStatus | Reviewer | ReviewDate | Notes | Instruction","True","True","True","False","True","True","True","True","True","False","False","False","False","22","3","15","5","0","0","42","8E0835782EFCC4226420374D793A95811289A0C3E2EB1ADD7F73BDFB99B485FF"
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_MISSING_VALUE_WORKLIST.csv","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\MS-T1_T2_MISSING_VALUE_WORKLIST.csv","14149","PASS","","73","8","TheoremID | FileName | CsvRow | RecordIdentity | MissingField | EntryAuthority | Instruction | CompletionStatus","True","False","True","False","True","True","False","False","False","False","False","False","False","22","0","15","5","0","0","0","B3A496D94C95DF9F1C8341E0C53AF5B0BDAEB18F60B0E212994451725BE91E26"
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T2_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/PROPAGATION_EVENTS.FIELD_GUIDE.csv","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T2_CONTROLLED_EXECUTION\00_COLLECTION_PACKET\PROPAGATION_EVENTS.FIELD_GUIDE.csv","2529","PASS","","12","9","TheoremID | FileName | CollectionClass | Sequence | FieldName | IdentityField | EntryAuthority | Instruction | Required","True","True","True","False","False","False","False","False","False","False","False","False","False","5","1","0","0","0","0","0","BC7E0B265E442F0889D1A450C8DFE7FE4D743FCE259A5C18ACCC0CBD21ECEE69"
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/completion_forms/MS-T2/MS-T2_PROPAGATION_EVENTS_ROW-2_UNASSIGNED-ROW-2.csv","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\MS-T1_T2_PREEXECUTION_COMPLETION\completion_forms\MS-T2\MS-T2_PROPAGATION_EVENTS_ROW-2_UNASSIGNED-ROW-2.csv","1244","PASS","","5","15","TheoremID | SourceFile | CsvRow | RecordIdentity | FieldName | EntryAuthority | ProposedValue | SourceReference | CompletedBy | CompletedAt | ReviewStatus | Reviewer | ReviewDate | Notes | Instruction","True","True","True","True","True","True","True","True","True","False","False","False","False","5","1","0","0","0","0","5","6F9A853FB81A77722A1488B18FCEF95C3C9C0717651742096A477C1F6ECF9F01"
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T2_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/PROPAGATION_EVENTS.MISSING_VALUES.csv","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T2_CONTROLLED_EXECUTION\00_COLLECTION_PACKET\PROPAGATION_EVENTS.MISSING_VALUES.csv","2483","PASS","","12","8","TheoremID | FileName | CsvRow | RecordIdentity | MissingField | EntryAuthority | Instruction | CompletionStatus","True","False","True","False","True","True","False","False","False","False","False","False","False","5","0","0","0","0","0","0","9A765EA2B0BF9477A50FAA90FB75275B3FCC27E562839ECAE90CACD6BA47BF60"
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T2_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/DOWNSTREAM_ASSESSMENTS.FIELD_GUIDE.csv","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T2_CONTROLLED_EXECUTION\00_COLLECTION_PACKET\DOWNSTREAM_ASSESSMENTS.FIELD_GUIDE.csv","2597","PASS","","12","9","TheoremID | FileName | CollectionClass | Sequence | FieldName | IdentityField | EntryAuthority | Instruction | Required","True","True","True","False","False","False","False","False","False","False","False","False","False","4","1","0","0","0","0","0","BC8D167A2C817F7B1A3369329EB534A442CA6F5D72F2310BB2C336B4AF415E35"
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/completion_forms/MS-T2/MS-T2_DOWNSTREAM_ASSESSMENTS_ROW-2_UNASSIGNED-ROW-2.csv","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\MS-T1_T2_PREEXECUTION_COMPLETION\completion_forms\MS-T2\MS-T2_DOWNSTREAM_ASSESSMENTS_ROW-2_UNASSIGNED-ROW-2.csv","1043","PASS","","4","15","TheoremID | SourceFile | CsvRow | RecordIdentity | FieldName | EntryAuthority | ProposedValue | SourceReference | CompletedBy | CompletedAt | ReviewStatus | Reviewer | ReviewDate | Notes | Instruction","True","True","True","True","True","True","True","True","True","False","False","False","False","4","1","0","0","0","0","4","BE223886284A00FB39025128C901AB08DA8113428B4A01D8C2908E1424763131"
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/SEMANTIC_ASSESSMENTS.FIELD_GUIDE.csv","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T1_CONTROLLED_EXECUTION\00_COLLECTION_PACKET\SEMANTIC_ASSESSMENTS.FIELD_GUIDE.csv","2561","PASS","","12","9","TheoremID | FileName | CollectionClass | Sequence | FieldName | IdentityField | EntryAuthority | Instruction | Required","True","True","True","False","False","False","False","False","False","False","False","False","False","4","0","0","0","0","0","0","2AEB459E363E740F483878EA468B266A8E0C13AA2CEA2129B5ADC5F9696181A6"
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/SEMANTIC_ASSESSMENTS.MISSING_VALUES.csv","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T1_CONTROLLED_EXECUTION\00_COLLECTION_PACKET\SEMANTIC_ASSESSMENTS.MISSING_VALUES.csv","2503","PASS","","12","8","TheoremID | FileName | CsvRow | RecordIdentity | MissingField | EntryAuthority | Instruction | CompletionStatus","True","False","True","False","True","True","False","False","False","False","False","False","False","4","0","0","0","0","0","0","26E2BFCBAC22582DA116550043C2B86EDAF9EDDE44AD70F5E4248A655773385D"
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T2_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/DOWNSTREAM_ASSESSMENTS.MISSING_VALUES.csv","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T2_CONTROLLED_EXECUTION\00_COLLECTION_PACKET\DOWNSTREAM_ASSESSMENTS.MISSING_VALUES.csv","2515","PASS","","12","8","TheoremID | FileName | CsvRow | RecordIdentity | MissingField | EntryAuthority | Instruction | CompletionStatus","True","False","True","False","True","True","False","False","False","False","False","False","False","4","0","0","0","0","0","0","EFDF479ADBF56913A019108E224BFC4FF4439E7B8297F0EDCA8CE58426578DD9"
"volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/completion_forms/MS-T1/MS-T1_SEMANTIC_ASSESSMENTS_ROW-2_UNASSIGNED-ROW-2.csv","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\MS-T1_T2_PREEXECUTION_COMPLETION\completion_forms\MS-T1\MS-T1_SEMANTIC_ASSESSMENTS_ROW-2_UNASSIGNED-ROW-2.csv","1041","PASS","","4","15","TheoremID | SourceFile | CsvRow | RecordIdentity | FieldName | EntryAuthority | ProposedValue | SourceReference | CompletedBy | CompletedAt | ReviewStatus | Reviewer | ReviewDate | Notes | Instruction","True","True","True","True","True","True","True","True","True","False","False","False","False","4","0","0","0","0","0","4","9D46E2BC965E5705A12C73D79DD790135F649C738BB7EB2078935D8977D28517"
"volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/00_COLLECTION_PACKET/OBSERVER_RESPONSES.FIELD_GUIDE.csv","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T1_CONTROLLED_EXECUTION\00_COLLECTION_PACKET\OBSERVER_RESPONSES.FIELD_GUIDE.csv","2365","PASS","","11","9","TheoremID | FileName | CollectionClass | Sequence | FieldName | IdentityField | EntryAuthority | Instruction | Required","True","True","True","False","False","False","False","False","False","False","False","False","False","3","1","0","0","0","0","0","A047E651FEB1600C86E109EBC029406F0460D010F907858EE9D7D13C70A2CBB4"
