"Category","DirectoryName","RelativePath","FullPath","DirectFileCount","CsvCount","JsonCount","MarkdownCount","PowerShellCount"
"ASSESSMENT","architecture-reliability-assessment","architecture-assurance-framework/architecture-reliability-assessment","C:\Users\18177\morning-star\architecture-assurance-framework\architecture-reliability-assessment","3","0","0","3","0"
"ASSESSMENT","change-impact-assessment","architecture-operating-continuity-framework/change-impact-assessment","C:\Users\18177\morning-star\architecture-operating-continuity-framework\change-impact-assessment","3","0","0","3","0"
"ASSESSMENT","autonomous-integrity-assessment","architecture-self-aware-governance/autonomous-integrity-assessment","C:\Users\18177\morning-star\architecture-self-aware-governance\autonomous-integrity-assessment","3","0","0","3","0"
"ASSESSMENT","architecture-health-assessment","continuous-architecture-stewardship/architecture-health-assessment","C:\Users\18177\morning-star\continuous-architecture-stewardship\architecture-health-assessment","3","0","0","3","0"
"ASSESSMENT","assessment","orynth-reference-architecture/enterprise-evaluation/assessment","C:\Users\18177\morning-star\orynth-reference-architecture\enterprise-evaluation\assessment","28","28","0","0","0"
"ASSESSMENT","03_ASSESSMENT","volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/03_ASSESSMENT","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T1_CONTROLLED_EXECUTION\03_ASSESSMENT","2","1","0","0","0"
"ASSESSMENT","03_ASSESSMENT","volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T2_CONTROLLED_EXECUTION/03_ASSESSMENT","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T2_CONTROLLED_EXECUTION\03_ASSESSMENT","2","1","0","0","0"
"ASSESSMENT","assessment","volumes/VOLUME_I_FOUNDATION/verification/MS-T1/trials/MS-T1-TRIAL-0001/assessment","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\assessment","10","1","5","4","0"
"AUTHORITY","stewardship-authority-framework","architecture-stewardship-framework/stewardship-authority-framework","C:\Users\18177\morning-star\architecture-stewardship-framework\stewardship-authority-framework","3","0","0","3","0"
"AUTHORITY","authority","phase-ii/governance/authority","C:\Users\18177\morning-star\phase-ii\governance\authority","1","0","0","1","0"
"AUTHORITY","authority_snapshot","volumes/VOLUME_I_FOUNDATION/verification/MS-T1/trials/MS-T1-TRIAL-0001/authority_snapshot","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\authority_snapshot","5","2","2","1","0"
"AUTHORITY","MS-T3_CAPABILITY_AUTHORITY_SEPARATION_TRIAL","volumes/VOLUME_I_FOUNDATION/verification/MS-T3_CAPABILITY_AUTHORITY_SEPARATION_TRIAL","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T3_CAPABILITY_AUTHORITY_SEPARATION_TRIAL","13","5","0","8","0"
"AUTHORITY","CONTROLLED_ID_AUTHORITY","volumes/VOLUME_I_FOUNDATION/verification/readiness/CONTROLLED_ID_AUTHORITY","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\CONTROLLED_ID_AUTHORITY","4","1","2","1","0"
"COMPLETION","MS-T1_T2_PREEXECUTION_COMPLETION","volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\MS-T1_T2_PREEXECUTION_COMPLETION","14","7","2","4","1"
"COMPLETION","completion_forms","volumes/VOLUME_I_FOUNDATION/verification/readiness/MS-T1_T2_PREEXECUTION_COMPLETION/completion_forms","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\MS-T1_T2_PREEXECUTION_COMPLETION\completion_forms","0","0","0","0","0"
"EVIDENCE","verification-evidence-management","architecture-assurance-framework/verification-evidence-management","C:\Users\18177\morning-star\architecture-assurance-framework\verification-evidence-management","3","0","0","3","0"
"EVIDENCE","complete-architecture-evidence-consolidation","architecture-certification-continuum-framework/complete-architecture-evidence-consolidation","C:\Users\18177\morning-star\architecture-certification-continuum-framework\complete-architecture-evidence-consolidation","3","0","0","3","0"
"EVIDENCE","evidence-driven-refinement-system","architecture-optimization-framework/evidence-driven-refinement-system","C:\Users\18177\morning-star\architecture-optimization-framework\evidence-driven-refinement-system","3","0","0","3","0"
"EVIDENCE","evidence","constitution/evidence","C:\Users\18177\morning-star\constitution\evidence","1","0","0","1","0"
"EVIDENCE","evidence","evidence","C:\Users\18177\morning-star\evidence","1","0","0","1","0"
"EVIDENCE","evidence-management","knowledge-infrastructure/evidence-management","C:\Users\18177\morning-star\knowledge-infrastructure\evidence-management","3","0","0","3","0"
"EVIDENCE","evidence-preservation-system","maturity-assurance/evidence-preservation-system","C:\Users\18177\morning-star\maturity-assurance\evidence-preservation-system","3","0","0","3","0"
"EVIDENCE","evidence","phase-ii/verification/evidence","C:\Users\18177\morning-star\phase-ii\verification\evidence","1","0","0","1","0"
"EVIDENCE","evidence","runtime/evidence","C:\Users\18177\morning-star\runtime\evidence","4","0","0","4","0"
"EVIDENCE","02_EVIDENCE","volumes/VOLUME_I_FOUNDATION/verification/execution/MS-T1_CONTROLLED_EXECUTION/02_EVIDENCE","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T1_CONTROLLED_EXECUTION\02_EVIDENCE","2","1","0","0","0"
