"ScriptPath","RelativePath","ParseErrors","HashDefinitions","CsvDefinitions","HashReferences","CsvReferences","ImportsSharedModule"
"C:\Users\18177\morning-star\Invoke-MorningStarRepositoryCleanup.ps1","Invoke-MorningStarRepositoryCleanup.ps1","0","0","0","0","0","False"
"C:\Users\18177\morning-star\repair-stage5.ps1","repair-stage5.ps1","0","0","0","0","0","False"
"C:\Users\18177\morning-star\engineering\tools\Invoke-EngineHelperConsolidation.ps1","engineering\tools\Invoke-EngineHelperConsolidation.ps1","0","0","0","4","4","True"
"C:\Users\18177\morning-star\tools\verification\Invoke-MS-T1T2ControlledExecution.ps1","tools\verification\Invoke-MS-T1T2ControlledExecution.ps1","0","0","0","0","0","False"
"C:\Users\18177\morning-star\tools\verification\Invoke-MS-T1T2ExecutionReadiness.ps1","tools\verification\Invoke-MS-T1T2ExecutionReadiness.ps1","0","0","0","0","0","False"
"C:\Users\18177\morning-star\tools\verification\New-MS-T1T2EvidenceCollectionPacket.ps1","tools\verification\New-MS-T1T2EvidenceCollectionPacket.ps1","0","0","0","0","0","False"
"C:\Users\18177\morning-star\tools\verification\New-MS-T1T2ExactEntryBlueprint.ps1","tools\verification\New-MS-T1T2ExactEntryBlueprint.ps1","0","0","0","0","0","False"
"C:\Users\18177\morning-star\tools\verification\New-MS-T1T2ExecutionWorkspaces.ps1","tools\verification\New-MS-T1T2ExecutionWorkspaces.ps1","0","0","0","0","0","False"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Engine\Invoke-BatchAStage3ProposalEngine.ps1","volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Engine\Invoke-BatchAStage3ProposalEngine.ps1","0","1","1","3","4","False"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\MS-T1_T2_PREEXECUTION_COMPLETION\Test-MS-T1T2PreExecutionCompletion.ps1","volumes\VOLUME_I_FOUNDATION\verification\readiness\MS-T1_T2_PREEXECUTION_COMPLETION\Test-MS-T1T2PreExecutionCompletion.ps1","0","0","0","0","0","False"
