"ScriptName","RelativePath","SizeBytes","ImportsSharedModule","UsesHashing","UsesCsv","UsesAssertions","UsesBatchContext","HardcodedBatchA","FunctionCount"
"Invoke-B2Pass01-EngineInventory.ps1","engineering\tools\Invoke-B2Pass01-EngineInventory.ps1","4014","False","True","True","True","True","True","0"
"Invoke-B2Pass02-PathGeneralization.ps1","engineering\tools\Invoke-B2Pass02-PathGeneralization.ps1","236","False","False","False","False","False","False","0"
"Invoke-B2Pass03-AssertionMigration.ps1","engineering\tools\Invoke-B2Pass03-AssertionMigration.ps1","232","False","False","False","False","False","False","0"
"Invoke-B2Pass04-ValidationConsolidation.ps1","engineering\tools\Invoke-B2Pass04-ValidationConsolidation.ps1","241","False","False","False","False","False","False","0"
"Invoke-B2Pass05-FinalVerification.ps1","engineering\tools\Invoke-B2Pass05-FinalVerification.ps1","227","False","False","False","False","False","False","0"
"Invoke-EngineHelperConsolidation.ps1","engineering\tools\Invoke-EngineHelperConsolidation.ps1","12031","True","True","True","True","False","False","1"
"Invoke-MorningStarRepositoryCleanup.ps1","Invoke-MorningStarRepositoryCleanup.ps1","28472","False","True","True","False","False","True","0"
"repair-stage5.ps1","repair-stage5.ps1","40820","False","True","True","False","False","True","0"
"Invoke-MS-T1T2ControlledExecution.ps1","tools\verification\Invoke-MS-T1T2ControlledExecution.ps1","13408","False","False","True","False","False","False","4"
"Invoke-MS-T1T2ExecutionReadiness.ps1","tools\verification\Invoke-MS-T1T2ExecutionReadiness.ps1","14762","False","False","True","False","False","False","4"
"New-MS-T1T2EvidenceCollectionPacket.ps1","tools\verification\New-MS-T1T2EvidenceCollectionPacket.ps1","21025","False","False","True","False","False","False","4"
"New-MS-T1T2ExactEntryBlueprint.ps1","tools\verification\New-MS-T1T2ExactEntryBlueprint.ps1","10547","False","False","True","False","False","False","2"
"New-MS-T1T2ExecutionWorkspaces.ps1","tools\verification\New-MS-T1T2ExecutionWorkspaces.ps1","18935","False","False","True","False","False","False","3"
"Invoke-BatchAStage3ProposalEngine.ps1","volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Engine\Invoke-BatchAStage3ProposalEngine.ps1","11671","True","True","True","False","False","True","2"
"Test-MS-T1T2PreExecutionCompletion.ps1","volumes\VOLUME_I_FOUNDATION\verification\readiness\MS-T1_T2_PREEXECUTION_COMPLETION\Test-MS-T1T2PreExecutionCompletion.ps1","6941","False","False","True","False","False","False","0"
