"VerificationID","VerificationClass","Subject","RequiredCondition","ObservedEvidence","VerificationStatus","VerifiedAt"
"MS-B2-B2-PASS-01-MANIFEST","PASS_MANIFEST","B2-PASS-01","Manifest exists, is readable, and reports PASS.","Exists=True; Readable=True; Result=PASS","PASS","2026-07-24T19:21:35.9231348-05:00"
"MS-B2-B2-PASS-02-MANIFEST","PASS_MANIFEST","B2-PASS-02","Manifest exists, is readable, and reports PASS.","Exists=True; Readable=True; Result=PASS","PASS","2026-07-24T19:21:35.9251341-05:00"
"MS-B2-B2-PASS-03-MANIFEST","PASS_MANIFEST","B2-PASS-03","Manifest exists, is readable, and reports PASS.","Exists=True; Readable=True; Result=PASS","PASS","2026-07-24T19:21:35.9292498-05:00"
"MS-B2-B2-PASS-04-MANIFEST","PASS_MANIFEST","B2-PASS-04","Manifest exists, is readable, and reports PASS.","Exists=True; Readable=True; Result=PASS","PASS","2026-07-24T19:21:35.9341398-05:00"
"MS-B2-SHARED-MODULE-SYNTAX","SHARED_MODULE","C:\Users\18177\morning-star\engineering\modules\MorningStar.Engine.Common.psm1","Shared module must parse without errors.","ParseErrors=0","PASS","2026-07-24T19:21:35.9361788-05:00"
"MS-B2-MODULE-EXPORT-Get-MSDeterministicHash","MODULE_EXPORT","Get-MSDeterministicHash","Required shared-module function must be exported.","Exported=True","PASS","2026-07-24T19:21:35.9361788-05:00"
"MS-B2-MODULE-EXPORT-Import-MSCsv","MODULE_EXPORT","Import-MSCsv","Required shared-module function must be exported.","Exported=True","PASS","2026-07-24T19:21:35.9361788-05:00"
"MS-B2-MODULE-EXPORT-Export-MSAtomicCsv","MODULE_EXPORT","Export-MSAtomicCsv","Required shared-module function must be exported.","Exported=True","PASS","2026-07-24T19:21:35.9361788-05:00"
"MS-B2-MODULE-EXPORT-Assert-MSCondition","MODULE_EXPORT","Assert-MSCondition","Required shared-module function must be exported.","Exported=True","PASS","2026-07-24T19:21:35.9361788-05:00"
"MS-B2-MODULE-EXPORT-Resolve-MSRepositoryPath","MODULE_EXPORT","Resolve-MSRepositoryPath","Required shared-module function must be exported.","Exported=True","PASS","2026-07-24T19:21:35.9361788-05:00"
"MS-B2-MODULE-EXPORT-Get-MSBatchContext","MODULE_EXPORT","Get-MSBatchContext","Required shared-module function must be exported.","Exported=True","PASS","2026-07-24T19:21:35.9372211-05:00"
"MS-B2-MODULE-EXPORT-Get-MSFileHashRecord","MODULE_EXPORT","Get-MSFileHashRecord","Required shared-module function must be exported.","Exported=True","PASS","2026-07-24T19:21:35.9372211-05:00"
"MS-B2-ACTIVE-SCRIPT-SYNTAX","REPOSITORY_SYNTAX","Active PowerShell scripts","All active PowerShell scripts must parse successfully.","Scripts=15; Failures=0","PASS","2026-07-24T19:21:36.5667772-05:00"
"MS-B2-STAGE5-REGRESSION","REGRESSION","Stage 5","Stage 5 must remain genuinely validated.","Result=PASS; ExecutionRows=22; VerificationRows=22; EvidenceChainRows=22; Failures=0","PASS","2026-07-24T19:21:36.5703849-05:00"
"MS-B2-STAGE6-REGRESSION","REGRESSION","Stage 6","Stage 6 must remain closed and Batch A closure-eligible.","Result=PASS; DispositionRecords=42; Failures=0; Eligibility=ELIGIBLE","PASS","2026-07-24T19:21:36.5703849-05:00"
"MS-B2-DETERMINISTIC-HASH-PROBE","MODULE_BEHAVIOR","Get-MSDeterministicHash","Repeated identical inputs must produce identical hashes.","HashA=952731A0F33F7EF407EED52FC6E6FC54; HashB=952731A0F33F7EF407EED52FC6E6FC54","PASS","2026-07-24T19:21:36.5703849-05:00"
"MS-B2-ATOMIC-CSV-PROBE","MODULE_BEHAVIOR","Export-MSAtomicCsv and Import-MSCsv","Atomic CSV write and read-back must preserve one record.","Rows=1; Status=PASS","PASS","2026-07-24T19:21:36.5937081-05:00"
