"RelativePath","FileType","IsConfigurationFile","DefinesDefaults","ReadsEnvironment","PerformsValidation","UsesHardcodedPaths"
"_architecture_inventory\MORNING_STAR_REPOSITORY_INVENTORY_20260723-181636.json",".json","False","False","False","True","True"
"_architecture_inventory\MORNING_STAR_REPOSITORY_INVENTORY_LATEST.json",".json","False","False","False","True","True"
"engineering\manifests\batch-3\B3-PASS-01_MANIFEST.json",".json","False","False","False","False","False"
"engineering\manifests\batch-3\B3-PASS-03_MANIFEST.json",".json","False","False","False","False","False"
"engineering\tools\Invoke-B2Pass02-PathGeneralization.ps1",".ps1","False","False","False","True","True"
"engineering\tools\Invoke-B3Pass01-RuntimeInventory.ps1",".ps1","False","True","True","True","True"
"engineering\tools\Invoke-B3Pass03-OperationalStandards.ps1",".ps1","False","False","False","True","False"
"engineering\tools\Invoke-EngineHelperConsolidation.ps1",".ps1","False","False","False","True","False"
"Invoke-MorningStarRepositoryCleanup.ps1",".ps1","False","False","False","True","True"
"runtime\pyproject.toml",".toml","True","False","False","False","False"
"runtime\schemas\runtime-config-v1.schema.json",".json","True","False","False","True","False"
"runtime\src\morning_star\api\runtime.py",".py","False","False","False","True","False"
"runtime\src\morning_star\cli\main.py",".py","False","False","False","True","False"
"runtime\src\morning_star\config\__init__.py",".py","False","False","False","False","False"
"runtime\src\morning_star\config\runtime.py",".py","False","False","False","True","False"
"runtime\src\morning_star\engines\navigation.py",".py","False","True","False","False","False"
"runtime\src\morning_star\engines\transitions.py",".py","False","True","False","True","False"
"runtime\src\morning_star\models\canonical.py",".py","False","True","False","True","False"
"runtime\src\morning_star\models\envelopes.py",".py","False","True","False","True","False"
"runtime\src\morning_star\models\failures.py",".py","False","False","False","True","False"
"runtime\src\morning_star\models\snapshot.py",".py","False","True","False","True","False"
"runtime\src\morning_star\registries\memory.py",".py","False","True","False","True","False"
"runtime\src\morning_star\registries\persistent.py",".py","False","False","False","True","False"
"runtime\src\morning_star\registries\persistent_trace.py",".py","False","False","False","True","False"
"runtime\src\morning_star\registries\trace_ledger.py",".py","False","True","False","True","False"
"runtime\src\morning_star\registries\transaction.py",".py","False","True","False","True","False"
"runtime\tests\test_cli.py",".py","False","False","False","True","False"
"runtime\tests\test_configuration.py",".py","True","False","False","True","False"
"runtime\tests\test_public_api.py",".py","False","False","False","True","False"
"schemas\architecture-manifest.schema.json",".json","True","False","False","True","False"
"tools\verification\Invoke-MS-T1T2ControlledExecution.ps1",".ps1","False","False","False","True","True"
"tools\verification\New-MS-T1T2EvidenceCollectionPacket.ps1",".ps1","False","True","False","True","True"
"tools\verification\New-MS-T1T2ExactEntryBlueprint.ps1",".ps1","False","False","False","True","True"
"tools\verification\New-MS-T1T2ExecutionWorkspaces.ps1",".ps1","False","True","False","True","True"
"verification\MS-T2_DEPENDENCY_PROPAGATION_TRIAL\Run-MS-T2.py",".py","False","True","False","False","False"
"volumes\VOLUME_I_FOUNDATION\verification\_NEXT_VERIFICATION_INTAKE\CANONICAL_THEOREM_PROFILE.json",".json","False","False","False","True","False"
"volumes\VOLUME_I_FOUNDATION\verification\_NEXT_VERIFICATION_INTAKE\SOURCE_DISCOVERY_MANIFEST.json",".json","False","False","False","True","False"
"volumes\VOLUME_I_FOUNDATION\verification\MS-T1\source_snapshot\CANONICAL_THEOREM_PROFILE.json",".json","False","False","False","True","False"
"volumes\VOLUME_I_FOUNDATION\verification\MS-T1\source_snapshot\SOURCE_DISCOVERY_MANIFEST.json",".json","False","False","False","True","False"
"volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\assessment\CONDITION_EVALUATION_DECISION.json",".json","False","False","False","True","False"
"volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\assessment\CONSTRAINT_EVALUATION_DECISION.json",".json","False","False","False","True","False"
"volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\assessment\EVIDENCE_ADMISSIBILITY_DECISION.json",".json","False","False","False","True","False"
"volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\assessment\EXECUTION_GATE.json",".json","False","False","False","True","False"
"volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\assessment\THEOREM_DECISION.json",".json","False","False","False","True","False"
"volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\authority_snapshot\CANONICAL_THEOREM_PROFILE.json",".json","False","False","False","True","False"
"volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\evidence\_SUBMISSIONS\constraints\MS-T1-CONSTRAINT-0001.json",".json","False","False","False","True","False"
"volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\evidence\_SUBMISSIONS\input\MS-T1-INPUT-0001.json",".json","False","False","False","True","False"
"volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\evidence\_SUBMISSIONS\output\MS-T1-OUTPUT-0001.json",".json","False","False","False","True","False"
"volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\evidence\_SUBMISSIONS\SUBMISSION_STATUS.json",".json","False","False","False","True","False"
"volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\evidence\_SUBMISSIONS\uncertainty\MS-T1-UNCERTAINTY-0001.json",".json","False","False","False","True","False"
"volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\evidence\registered\constraint\MS-T1-CONSTRAINT-0001.json",".json","False","False","False","True","False"
"volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\evidence\registered\input\MS-T1-INPUT-0001.json",".json","False","False","False","True","False"
"volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\evidence\registered\output\MS-T1-OUTPUT-0001.json",".json","False","False","False","True","False"
"volumes\VOLUME_I_FOUNDATION\verification\MS-T1\trials\MS-T1-TRIAL-0001\evidence\registered\uncertainty\MS-T1-UNCERTAINTY-0001.json",".json","False","False","False","True","False"
