"RelativePath","UsesTimestamps","UsesGuidOrUuid","UsesRandomness","UsesFilesystemEnumeration","UsesCultureSensitiveOperations","DeterminismRisk","ReviewDisposition"
"engineering\modules\MorningStar.Engine.Common.psm1","False","True","False","False","True","HIGH","REQUIRES_PASS04_REVIEW"
"engineering\tools\Invoke-B3Pass01-RuntimeInventory.ps1","True","True","True","True","True","HIGH","REQUIRES_PASS04_REVIEW"
"runtime\src\morning_star\engines\navigation.py","False","True","False","False","False","HIGH","REQUIRES_PASS04_REVIEW"
"runtime\src\morning_star\engines\transitions.py","False","True","False","False","False","HIGH","REQUIRES_PASS04_REVIEW"
"runtime\src\morning_star\models\canonical.py","True","True","False","False","False","HIGH","REQUIRES_PASS04_REVIEW"
"runtime\src\morning_star\models\envelopes.py","False","True","False","False","False","HIGH","REQUIRES_PASS04_REVIEW"
"runtime\src\morning_star\models\snapshot.py","False","True","False","False","False","HIGH","REQUIRES_PASS04_REVIEW"
"runtime\src\morning_star\registries\transaction.py","False","True","False","False","False","HIGH","REQUIRES_PASS04_REVIEW"
"runtime\tests\scenarios\test_entry_conformance.py","False","True","False","False","False","HIGH","REQUIRES_PASS04_REVIEW"
"runtime\tests\test_initiation_engine.py","False","True","False","False","False","HIGH","REQUIRES_PASS04_REVIEW"
"runtime\tests\test_interpretation_engine.py","False","True","False","False","False","HIGH","REQUIRES_PASS04_REVIEW"
"runtime\tests\test_models.py","True","True","False","False","False","HIGH","REQUIRES_PASS04_REVIEW"
"runtime\tests\test_persistent_trace.py","False","True","False","False","False","HIGH","REQUIRES_PASS04_REVIEW"
"runtime\tests\test_public_api.py","False","True","False","False","False","HIGH","REQUIRES_PASS04_REVIEW"
"runtime\tests\test_reconstruction.py","False","True","False","False","False","HIGH","REQUIRES_PASS04_REVIEW"
"runtime\tests\test_registry.py","False","True","False","False","False","HIGH","REQUIRES_PASS04_REVIEW"
"runtime\tests\test_trace_ledger.py","False","True","False","False","False","HIGH","REQUIRES_PASS04_REVIEW"
"runtime\tests\test_transitions.py","False","True","False","False","False","HIGH","REQUIRES_PASS04_REVIEW"
"runtime\tests\test_validation.py","False","True","False","False","False","HIGH","REQUIRES_PASS04_REVIEW"
"engineering\tools\Invoke-B2Pass01-EngineInventory.ps1","True","False","False","True","True","MODERATE","REQUIRES_PASS04_REVIEW"
"engineering\tools\Invoke-B2Pass02-PathGeneralization.ps1","True","False","False","True","True","MODERATE","REQUIRES_PASS04_REVIEW"
"engineering\tools\Invoke-B2Pass03-AssertionMigration.ps1","True","False","False","True","True","MODERATE","REQUIRES_PASS04_REVIEW"
"engineering\tools\Invoke-B2Pass04-ValidationConsolidation.ps1","True","False","False","True","True","MODERATE","REQUIRES_PASS04_REVIEW"
"engineering\tools\Invoke-B2Pass05-FinalVerification.ps1","True","False","False","True","True","MODERATE","REQUIRES_PASS04_REVIEW"
"engineering\tools\Invoke-EngineHelperConsolidation.ps1","True","False","False","True","True","MODERATE","REQUIRES_PASS04_REVIEW"
"Invoke-MorningStarRepositoryCleanup.ps1","True","False","False","True","True","MODERATE","REQUIRES_PASS04_REVIEW"
"repair-stage5.ps1","True","False","False","True","True","MODERATE","REQUIRES_PASS04_REVIEW"
"runtime\src\morning_star\engines\validation.py","True","False","False","False","False","MODERATE","REQUIRES_PASS04_REVIEW"
"runtime\src\morning_star\models\reconstruction.py","True","False","False","False","False","MODERATE","REQUIRES_PASS04_REVIEW"
"runtime\src\morning_star\registries\persistent.py","True","False","False","True","False","MODERATE","REQUIRES_PASS04_REVIEW"
"runtime\src\morning_star\registries\persistent_trace.py","True","False","False","False","False","MODERATE","REQUIRES_PASS04_REVIEW"
"tools\verification\Invoke-MS-T1T2ControlledExecution.ps1","True","False","False","False","False","MODERATE","REQUIRES_PASS04_REVIEW"
"tools\verification\Invoke-MS-T1T2ExecutionReadiness.ps1","True","False","False","False","False","MODERATE","REQUIRES_PASS04_REVIEW"
"tools\verification\New-MS-T1T2EvidenceCollectionPacket.ps1","True","False","False","False","False","MODERATE","REQUIRES_PASS04_REVIEW"
"tools\verification\New-MS-T1T2ExactEntryBlueprint.ps1","True","False","False","False","False","MODERATE","REQUIRES_PASS04_REVIEW"
"tools\verification\New-MS-T1T2ExecutionWorkspaces.ps1","True","False","False","False","False","MODERATE","REQUIRES_PASS04_REVIEW"
"volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Engine\Invoke-BatchAStage3ProposalEngine.ps1","True","False","False","False","True","MODERATE","REQUIRES_PASS04_REVIEW"
"volumes\VOLUME_I_FOUNDATION\verification\readiness\MS-T1_T2_PREEXECUTION_COMPLETION\Test-MS-T1T2PreExecutionCompletion.ps1","True","False","False","False","False","MODERATE","REQUIRES_PASS04_REVIEW"
