"RelativePath","LoggingCalls","UsesPythonLogging","UsesPowerShellHostOutput","UsesStructuredLogging","UsesSeverityLevels"
"engineering\tools\Invoke-B2Pass01-EngineInventory.ps1","19","False","True","False","True"
"engineering\tools\Invoke-B2Pass02-PathGeneralization.ps1","17","False","True","False","True"
"engineering\tools\Invoke-B2Pass03-AssertionMigration.ps1","18","False","True","False","True"
"engineering\tools\Invoke-B2Pass04-ValidationConsolidation.ps1","20","False","True","False","True"
"engineering\tools\Invoke-B2Pass05-FinalVerification.ps1","24","False","True","False","True"
"engineering\tools\Invoke-B3Pass01-RuntimeInventory.ps1","24","False","True","True","True"
"engineering\tools\Invoke-EngineHelperConsolidation.ps1","16","False","True","False","True"
"Invoke-MorningStarRepositoryCleanup.ps1","31","False","True","False","True"
"repair-stage5.ps1","25","False","True","False","True"
"tools\verification\Invoke-MS-T1T2ControlledExecution.ps1","10","False","True","False","True"
"tools\verification\Invoke-MS-T1T2ExecutionReadiness.ps1","9","False","True","False","True"
"tools\verification\New-MS-T1T2EvidenceCollectionPacket.ps1","14","False","True","False","True"
"tools\verification\New-MS-T1T2ExactEntryBlueprint.ps1","17","False","True","False","True"
"tools\verification\New-MS-T1T2ExecutionWorkspaces.ps1","13","False","True","False","True"
"volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Engine\Invoke-BatchAStage3ProposalEngine.ps1","19","False","True","False","True"
"volumes\VOLUME_I_FOUNDATION\verification\readiness\MS-T1_T2_PREEXECUTION_COMPLETION\Test-MS-T1T2PreExecutionCompletion.ps1","9","False","True","False","True"
