"RelativePath","ArtifactClass","Extension","SizeBytes","SHA256","ReleaseEligibility"
"ARCHITECTURE_CERTIFICATION.md","DOCUMENTATION",".md","2003","E3DE5F93133206CC5C8F2164DC71BF5AC2FDF1061E201E5EAE641E5B85EC0FFE","ELIGIBLE"
"ARCHITECTURE_CERTIFICATION_READINESS.md","DOCUMENTATION",".md","1524","8702C4C893575C48A9C1BE9C0A066CAB434E10B5315B5C198465F37AFDCFD227","ELIGIBLE"
"ARCHITECTURE_COMPLETION_CERTIFICATION.md","DOCUMENTATION",".md","4046","CFDAEBC2B1F77D3D985FC48C23278D75D6DE117F893A5D0940B68C984341F5C8","ELIGIBLE"
"ARCHITECTURE_MAP.md","DOCUMENTATION",".md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","ELIGIBLE"
"CHANGELOG.md","DOCUMENTATION",".md","821","EF7099F46E8A4C434E1C269B1D4C79114638EFCA7903A79D97ED9C906111C9FC","ELIGIBLE"
"CITATION_METADATA.md","DOCUMENTATION",".md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","ELIGIBLE"
"completion-blocker-context.txt","DOCUMENTATION",".txt","141","C48B4F6823FBED10C8B4906821811AAAD70A51F390B02CB545C6C4BDCF4C9D88","ELIGIBLE"
"completion-blockers.txt","DOCUMENTATION",".txt","110","E0A2C4CC7756E69F799A535AAE0D38F215EEAF61C1FBEA2700E5789D420664DF","ELIGIBLE"
"NEXT_COMPLETION_REPAIR_PACKET.md","DOCUMENTATION",".md","238","11900AF930FEBCCAAB154F6BB775B56502B3948E32D7B9DE6F3A21C69F4948CC","ELIGIBLE"
"README.md","DOCUMENTATION",".md","1547","D1C2DD96C63AD24CB0EA43DD3CB88C17F78A51E9EF1BB82204F8C81DE13C334B","ELIGIBLE"
"activation\community-operations\COMMUNITY_GROWTH_MODEL.md","DOCUMENTATION",".md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","ELIGIBLE"
"activation\community-operations\CONTRIBUTOR_OPERATIONS_MODEL.md","DOCUMENTATION",".md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","ELIGIBLE"
"activation\community-operations\KNOWLEDGE_EXCHANGE_MODEL.md","DOCUMENTATION",".md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","ELIGIBLE"
"activation\community-operations\PARTICIPATION_GOVERNANCE_MODEL.md","DOCUMENTATION",".md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","ELIGIBLE"
"activation\deployment-operations\DEPLOYMENT_FEEDBACK_MODEL.md","DOCUMENTATION",".md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","ELIGIBLE"
"activation\deployment-operations\DEPLOYMENT_PIPELINE_MODEL.md","DOCUMENTATION",".md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","ELIGIBLE"
"activation\deployment-operations\FIELD_VALIDATION_MODEL.md","DOCUMENTATION",".md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","ELIGIBLE"
"activation\deployment-operations\IMPLEMENTATION_SUPPORT_MODEL.md","DOCUMENTATION",".md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","ELIGIBLE"
"activation\ecosystem-operations\ECOSYSTEM_COORDINATION_MODEL.md","DOCUMENTATION",".md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","ELIGIBLE"
