"RelativePath","FileName","Extension","SizeBytes","Directory","SHA256","LastWriteTime"
"activation\research-operations\PUBLICATION_OPERATIONS_MODEL.md","PUBLICATION_OPERATIONS_MODEL.md",".md","0","activation\research-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9668095-05:00"
"architecture-consolidation\final-release-record\RELEASE_LINEAGE_MODEL.md","RELEASE_LINEAGE_MODEL.md",".md","713","architecture-consolidation\final-release-record","6B08949025A03C96CB0307B5666022AB6EDF99973C61665BEA8D17994ABD00E6","2026-07-18T11:01:37.4860427-05:00"
"CHANGELOG.md","CHANGELOG.md",".md","821","","EF7099F46E8A4C434E1C269B1D4C79114638EFCA7903A79D97ED9C906111C9FC","2026-07-22T16:31:27.2886096-05:00"
"CITATION_METADATA.md","CITATION_METADATA.md",".md","0","","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T03:51:47.2194578-05:00"
"constitution\README.md","README.md",".md","772","constitution","0A0AC807C280D1F0F46E3249198C577AC9CD2DDE7039561C45ED4F200B1F3F6A","2026-07-22T15:53:14.0758222-05:00"
"ecosystem\research\PUBLICATION_PIPELINE_MODEL.md","PUBLICATION_PIPELINE_MODEL.md",".md","806","ecosystem\research","93F2D467914B64E02CA2A55ABC7C1EA2811195A03F169159E4E16953A4564C13","2026-07-18T03:30:46.6356908-05:00"
"ecosystem-release\dependency-lineage\RELEASE_RELATIONSHIP_MAP.md","RELEASE_RELATIONSHIP_MAP.md",".md","745","ecosystem-release\dependency-lineage","C4C4BF206B34DB28D5A2CB0F1BB8982007AD7F568F3448C91830F78A7BC94544","2026-07-18T11:14:43.7660037-05:00"
"ecosystem-release\final-publication\ECOSYSTEM_RELEASE_RECORD.md","ECOSYSTEM_RELEASE_RECORD.md",".md","703","ecosystem-release\final-publication","CBE10085ECCC5B2A1097F615B9BFFCF35C1136A8BD86184DD132701835972962","2026-07-18T11:15:15.7686844-05:00"
"ecosystem-release\final-publication\PUBLICATION_READINESS_RECORD.md","PUBLICATION_READINESS_RECORD.md",".md","795","ecosystem-release\final-publication","16C1BA8FC1157621DB1F556CC440875CC645AB1EEF4E2EEACB8DDAC9F2B0D002","2026-07-18T11:15:15.7702837-05:00"
"ecosystem-release\final-publication\RELEASE_MANIFEST_INDEX.md","RELEASE_MANIFEST_INDEX.md",".md","1250","ecosystem-release\final-publication","69A310CABC5B5D1B20BE0408F474228DFE591FD5F67FC630B309299EDFF2E1DF","2026-07-18T11:16:35.6276902-05:00"
"ecosystem-release\release-manifest\ECOSYSTEM_RELEASE_MANIFEST.md","ECOSYSTEM_RELEASE_MANIFEST.md",".md","982","ecosystem-release\release-manifest","4962A6DF819549182EF71753F6F842759C741B86B1E57261FCE21DDD14AC086D","2026-07-18T11:13:19.5480102-05:00"
"ecosystem-release\release-manifest\RELEASE_SCOPE_RECORD.md","RELEASE_SCOPE_RECORD.md",".md","735","ecosystem-release\release-manifest","9770030AD4DA12718B5F32216BE7EF599DBCFE3CB3EE1E05FC717D32BA1218D8","2026-07-18T11:13:19.5480102-05:00"
"ecosystem-release\release-manifest\RELEASE_VALIDATION_STATUS.md","RELEASE_VALIDATION_STATUS.md",".md","751","ecosystem-release\release-manifest","0D8D9AE7804D0A2C90AD204F8B49E149712CBFEDBC065EE9F5B88529B31A94C7","2026-07-18T11:13:19.5636829-05:00"
"ecosystem-release\version-registry\ARCHITECTURE_VERSION_HISTORY.md","ARCHITECTURE_VERSION_HISTORY.md",".md","710","ecosystem-release\version-registry","F4E859B357CD6AD82313960556A349B8DB6AE337666C114E6B36CF9ACE0F49C0","2026-07-18T11:14:16.3898483-05:00"
"ecosystem-release\version-registry\FRAMEWORK_RELEASE_INDEX.md","FRAMEWORK_RELEASE_INDEX.md",".md","763","ecosystem-release\version-registry","E54E19B021E7A150A63FA03FF0B2B9BE97DEDAE15F260C69067BED9E9589C045","2026-07-18T11:14:16.3818472-05:00"
"ecosystem-release\version-registry\VERSION_REGISTRY.md","VERSION_REGISTRY.md",".md","683","ecosystem-release\version-registry","13D009F0709E473C71DDE795FE9DFDEC1A806B8AB9269D9E4EAF79F49085F5C8","2026-07-18T11:14:16.3858453-05:00"
"engineering\tools\Invoke-B4Pass01-RepositoryReleaseInventory.ps1","Invoke-B4Pass01-RepositoryReleaseInventory.ps1",".ps1","12888","engineering\tools","9716C65913C4775002B1C6C8786A870CC1F72F6DB31D95919C3D494E3FBA8E94","2026-07-25T03:18:28.0933914-05:00"
"execution\MS-001_CONSTITUTIONAL_INITIALIZATION\README.md","README.md",".md","1899","execution\MS-001_CONSTITUTIONAL_INITIALIZATION","565EF3598C2F4A7A9CCD1E14C724C509F7CDA76F68891CC266B7C4B106C31E78","2026-07-17T20:10:47.8073156-05:00"
"execution\MS-002_ENTRY_ONTOLOGY_INITIALIZATION\README.md","README.md",".md","2161","execution\MS-002_ENTRY_ONTOLOGY_INITIALIZATION","20A85202CCEE6B29475188F139ECA95383317A0319AF3E1BA123444468BAFA67","2026-07-17T20:23:31.5092906-05:00"
"execution\MS-003_CONSTITUTIONAL_NAVIGATION_INITIALIZATION\CHANGELOG.md","CHANGELOG.md",".md","1422","execution\MS-003_CONSTITUTIONAL_NAVIGATION_INITIALIZATION","74D1EDC2172F26CB8FD6A93374C891FAD8ED0F3BE019210A8BF266777A7526C1","2026-07-17T20:37:20.4888104-05:00"
"execution\MS-003_CONSTITUTIONAL_NAVIGATION_INITIALIZATION\README.md","README.md",".md","1412","execution\MS-003_CONSTITUTIONAL_NAVIGATION_INITIALIZATION","360A210EDB99481F6933BF24A7FD0AEAA7E58C2D902C0E54C55FFF60D9098573","2026-07-17T20:34:26.8325640-05:00"
"execution\MS-004_ECOSYSTEM_ORIENTATION_INITIALIZATION\CHANGELOG.md","CHANGELOG.md",".md","1507","execution\MS-004_ECOSYSTEM_ORIENTATION_INITIALIZATION","FE49AAFC8BE025FABB2C8C58ECC3C35FE71496A61084891B3E91AD89C9EB5C4A","2026-07-17T21:13:17.3063721-05:00"
"execution\MS-004_ECOSYSTEM_ORIENTATION_INITIALIZATION\README.md","README.md",".md","1677","execution\MS-004_ECOSYSTEM_ORIENTATION_INITIALIZATION","B6F360D67C88E7EF464AB7A54B67FA4B4762701864E5EE6C8573C6F299291023","2026-07-17T20:38:08.6622961-05:00"
"execution\MS-005_FRAMEWORK_DISCOVERY_INITIALIZATION\CHANGELOG.md","CHANGELOG.md",".md","1501","execution\MS-005_FRAMEWORK_DISCOVERY_INITIALIZATION","E5CC1D71CCCC7736AF24F9BD4BBBAB6ED8BC4BB5530AEE5F9360D00676CB8B4C","2026-07-17T21:17:35.4184944-05:00"
"execution\MS-005_FRAMEWORK_DISCOVERY_INITIALIZATION\README.md","README.md",".md","1740","execution\MS-005_FRAMEWORK_DISCOVERY_INITIALIZATION","BDE8625FA4FC255C39D729DE34798517AD4774C85D8293D2AC7DF8CFD936B77B","2026-07-17T21:14:58.8363665-05:00"
"execution\MS-006_CONSTITUTIONAL_LEARNING_INITIALIZATION\CHANGELOG.md","CHANGELOG.md",".md","1936","execution\MS-006_CONSTITUTIONAL_LEARNING_INITIALIZATION","95817E58817011E30B7870760AC4F42915E709C16DDE3E21EEF8BEE785F51803","2026-07-17T21:25:02.8422528-05:00"
"execution\MS-006_CONSTITUTIONAL_LEARNING_INITIALIZATION\README.md","README.md",".md","1827","execution\MS-006_CONSTITUTIONAL_LEARNING_INITIALIZATION","B54A4A8A8FB72E3C1AB218AED5376CA21EE0A3987139CB4992EAA301E9889CE0","2026-07-17T21:18:20.4920443-05:00"
"execution\MS-007_CONSTITUTIONAL_COMPREHENSION_INITIALIZATION\CHANGELOG.md","CHANGELOG.md",".md","1972","execution\MS-007_CONSTITUTIONAL_COMPREHENSION_INITIALIZATION","F501EE7596EFABC27A584DC85102174D52ED533AC38AA5C79BC6F855C66CCD6D","2026-07-17T21:36:15.7705065-05:00"
"execution\MS-007_CONSTITUTIONAL_COMPREHENSION_INITIALIZATION\README.md","README.md",".md","2016","execution\MS-007_CONSTITUTIONAL_COMPREHENSION_INITIALIZATION","D61B92422E4BDEBF125E9AA93075DB3B9A88F612058C49EB91DAE5843EB7123C","2026-07-17T21:26:23.0587279-05:00"
"execution\MS-008_CONSTITUTIONAL_APPLICATION_INITIALIZATION\CHANGELOG.md","CHANGELOG.md",".md","1954","execution\MS-008_CONSTITUTIONAL_APPLICATION_INITIALIZATION","7A7794067C9A502A6DB73502BDCA2A6BAD2C91102B045EBA81DF717079EA31DB","2026-07-17T22:36:26.2640515-05:00"
"execution\MS-008_CONSTITUTIONAL_APPLICATION_INITIALIZATION\README.md","README.md",".md","2026","execution\MS-008_CONSTITUTIONAL_APPLICATION_INITIALIZATION","F3050FFB93D9F2E5C1C145CD5A62A307F4D508B6323B56854621CC13B472CCBE","2026-07-17T22:30:34.3481815-05:00"
