"RelativePath","FileName","Extension","SizeBytes","Directory","SHA256","LastWriteTime"
".gitignore",".gitignore",".gitignore","106","","279DF6E21B59C13C01F23ED271C53BE32D232C45841862E9C6484EC0FF74B744","2026-07-23T12:14:35.0745747-05:00"
"_architecture_inventory\CSV_SCHEMA_INVENTORY_20260723-181636.csv","CSV_SCHEMA_INVENTORY_20260723-181636.csv",".csv","186721","_architecture_inventory","8CE48B5C9A9FF2513A839B3DAFEC8567382282A15862E04C9D9A2E7F17013457","2026-07-23T18:16:48.3963759-05:00"
"_architecture_inventory\DIRECTORY_INVENTORY_20260723-181636.csv","DIRECTORY_INVENTORY_20260723-181636.csv",".csv","219895","_architecture_inventory","FEF5681530EE0ED49B3925534C26DF8A2D455A2F45BDDCE59CC8884B41E6FF82","2026-07-23T18:16:45.2909385-05:00"
"_architecture_inventory\GOVERNANCE_CANDIDATES_20260723-181636.csv","GOVERNANCE_CANDIDATES_20260723-181636.csv",".csv","54105","_architecture_inventory","2EEA69C5D2C40F061278E4B4AE53C37041DB8E91D716D1F6CF99CA17AA0E472D","2026-07-23T18:16:48.5792485-05:00"
"_architecture_inventory\MORNING_STAR_REPOSITORY_INVENTORY_20260723-181636.json","MORNING_STAR_REPOSITORY_INVENTORY_20260723-181636.json",".json","47830","_architecture_inventory","64FA431524388FD3A65DD33F2EDD2A9B3BAC2D3A80B47A75089A2385EE89E44F","2026-07-23T18:16:49.1023224-05:00"
"_architecture_inventory\MORNING_STAR_REPOSITORY_INVENTORY_LATEST.json","MORNING_STAR_REPOSITORY_INVENTORY_LATEST.json",".json","47830","_architecture_inventory","64FA431524388FD3A65DD33F2EDD2A9B3BAC2D3A80B47A75089A2385EE89E44F","2026-07-23T18:16:49.1023224-05:00"
"activation\community-operations\COMMUNITY_GROWTH_MODEL.md","COMMUNITY_GROWTH_MODEL.md",".md","0","activation\community-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9717352-05:00"
"activation\community-operations\CONTRIBUTOR_OPERATIONS_MODEL.md","CONTRIBUTOR_OPERATIONS_MODEL.md",".md","0","activation\community-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9707294-05:00"
"activation\community-operations\KNOWLEDGE_EXCHANGE_MODEL.md","KNOWLEDGE_EXCHANGE_MODEL.md",".md","0","activation\community-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9707294-05:00"
"activation\community-operations\PARTICIPATION_GOVERNANCE_MODEL.md","PARTICIPATION_GOVERNANCE_MODEL.md",".md","0","activation\community-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9717352-05:00"
"activation\deployment-operations\DEPLOYMENT_FEEDBACK_MODEL.md","DEPLOYMENT_FEEDBACK_MODEL.md",".md","0","activation\deployment-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9668095-05:00"
"activation\deployment-operations\DEPLOYMENT_PIPELINE_MODEL.md","DEPLOYMENT_PIPELINE_MODEL.md",".md","0","activation\deployment-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9646496-05:00"
"activation\deployment-operations\FIELD_VALIDATION_MODEL.md","FIELD_VALIDATION_MODEL.md",".md","0","activation\deployment-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9668095-05:00"
"activation\deployment-operations\IMPLEMENTATION_SUPPORT_MODEL.md","IMPLEMENTATION_SUPPORT_MODEL.md",".md","0","activation\deployment-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9668095-05:00"
"activation\ecosystem-operations\ECOSYSTEM_COORDINATION_MODEL.md","ECOSYSTEM_COORDINATION_MODEL.md",".md","0","activation\ecosystem-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9516841-05:00"
"activation\ecosystem-operations\ECOSYSTEM_GROWTH_MODEL.md","ECOSYSTEM_GROWTH_MODEL.md",".md","0","activation\ecosystem-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9559693-05:00"
"activation\ecosystem-operations\ECOSYSTEM_HEALTH_OPERATIONS.md","ECOSYSTEM_HEALTH_OPERATIONS.md",".md","0","activation\ecosystem-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9521965-05:00"
"activation\ecosystem-operations\ECOSYSTEM_OPERATING_MODEL.md","ECOSYSTEM_OPERATING_MODEL.md",".md","0","activation\ecosystem-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9506645-05:00"
"activation\funding-operations\FUNDING_PIPELINE_MODEL.md","FUNDING_PIPELINE_MODEL.md",".md","0","activation\funding-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9717352-05:00"
"activation\funding-operations\GRANT_OPERATIONS_MODEL.md","GRANT_OPERATIONS_MODEL.md",".md","0","activation\funding-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9717352-05:00"
"activation\funding-operations\INVESTMENT_RELATIONSHIP_MODEL.md","INVESTMENT_RELATIONSHIP_MODEL.md",".md","0","activation\funding-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9717352-05:00"
"activation\funding-operations\RESOURCE_STEWARDSHIP_MODEL.md","RESOURCE_STEWARDSHIP_MODEL.md",".md","0","activation\funding-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9717352-05:00"
"activation\impact-operations\IMPACT_TRACKING_MODEL.md","IMPACT_TRACKING_MODEL.md",".md","0","activation\impact-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9717352-05:00"
"activation\impact-operations\LONG_TERM_EFFECT_MODEL.md","LONG_TERM_EFFECT_MODEL.md",".md","0","activation\impact-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9759141-05:00"
"activation\impact-operations\OUTCOME_VALIDATION_MODEL.md","OUTCOME_VALIDATION_MODEL.md",".md","0","activation\impact-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9717352-05:00"
"activation\impact-operations\SOCIAL_VALUE_MODEL.md","SOCIAL_VALUE_MODEL.md",".md","0","activation\impact-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9759141-05:00"
"activation\partnership-operations\COLLABORATION_OPERATING_MODEL.md","COLLABORATION_OPERATING_MODEL.md",".md","0","activation\partnership-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9646496-05:00"
"activation\partnership-operations\PARTNER_ONBOARDING_MODEL.md","PARTNER_ONBOARDING_MODEL.md",".md","0","activation\partnership-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9646496-05:00"
"activation\partnership-operations\PARTNERSHIP_FRAMEWORK.md","PARTNERSHIP_FRAMEWORK.md",".md","0","activation\partnership-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9559693-05:00"
"activation\partnership-operations\RELATIONSHIP_CONTINUITY_MODEL.md","RELATIONSHIP_CONTINUITY_MODEL.md",".md","0","activation\partnership-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9646496-05:00"
"activation\research-operations\DISCOVERY_PIPELINE_MODEL.md","DISCOVERY_PIPELINE_MODEL.md",".md","0","activation\research-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9694654-05:00"
"activation\research-operations\PUBLICATION_OPERATIONS_MODEL.md","PUBLICATION_OPERATIONS_MODEL.md",".md","0","activation\research-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9668095-05:00"
"activation\research-operations\RESEARCH_COLLABORATION_MODEL.md","RESEARCH_COLLABORATION_MODEL.md",".md","0","activation\research-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9694654-05:00"
"activation\research-operations\RESEARCH_PROGRAM_OPERATIONS.md","RESEARCH_PROGRAM_OPERATIONS.md",".md","0","activation\research-operations","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","2026-07-18T06:57:04.9668095-05:00"
"adaptive-ecosystem-evolution\adaptive-learning-architecture\ADAPTIVE_LEARNING_ARCHITECTURE.md","ADAPTIVE_LEARNING_ARCHITECTURE.md",".md","846","adaptive-ecosystem-evolution\adaptive-learning-architecture","CB3BF974861328FD2CEFF788998FD38D4A451E666BB96F2E20475E8AEFC4B69E","2026-07-19T13:18:19.6873956-05:00"
"adaptive-ecosystem-evolution\adaptive-learning-architecture\LEARNING_EVOLUTION_RECORD.md","LEARNING_EVOLUTION_RECORD.md",".md","755","adaptive-ecosystem-evolution\adaptive-learning-architecture","592649B54C0577B566E0D77D449A09948E35DD8B920F2B864135B607AC51D24A","2026-07-19T13:18:19.6873956-05:00"
"adaptive-ecosystem-evolution\adaptive-learning-architecture\LEARNING_SIGNAL_REGISTER.md","LEARNING_SIGNAL_REGISTER.md",".md","766","adaptive-ecosystem-evolution\adaptive-learning-architecture","DDF752F466353172B372D08F8D20585A62230189DFA83181D756CEAB363DC047","2026-07-19T13:18:19.6873956-05:00"
"adaptive-ecosystem-evolution\dynamic-governance-intelligence\DYNAMIC_GOVERNANCE_INTELLIGENCE.md","DYNAMIC_GOVERNANCE_INTELLIGENCE.md",".md","896","adaptive-ecosystem-evolution\dynamic-governance-intelligence","DE24E5F9015B7B8078AC98CC72F26F59658FCEE4B8FAF9187FCF5FBFFDEB6C1B","2026-07-19T13:18:48.5206255-05:00"
"adaptive-ecosystem-evolution\dynamic-governance-intelligence\GOVERNANCE_EVOLUTION_RECORD.md","GOVERNANCE_EVOLUTION_RECORD.md",".md","775","adaptive-ecosystem-evolution\dynamic-governance-intelligence","BDCB8B82421FA9ADDC3D6F73421BF8218A0EBF798D5B1780CFBE84F849CA5611","2026-07-19T13:18:48.5266465-05:00"
"adaptive-ecosystem-evolution\dynamic-governance-intelligence\GOVERNANCE_INTELLIGENCE_REGISTER.md","GOVERNANCE_INTELLIGENCE_REGISTER.md",".md","786","adaptive-ecosystem-evolution\dynamic-governance-intelligence","94D27298BBFE608D2C02F404F791A50524BAE60F444E421A4625DE28A74D0DB6","2026-07-19T13:18:48.5246405-05:00"
"adaptive-ecosystem-evolution\evolutionary-architecture-framework\ARCHITECTURE_EVOLUTION_RECORD.md","ARCHITECTURE_EVOLUTION_RECORD.md",".md","805","adaptive-ecosystem-evolution\evolutionary-architecture-framework","15A5C735B891F0215153F2C2180EF3784C0C731889EC64FCE565E1CC615D40E4","2026-07-19T13:19:51.9526962-05:00"
"adaptive-ecosystem-evolution\evolutionary-architecture-framework\EVOLUTION_STATE_REGISTER.md","EVOLUTION_STATE_REGISTER.md",".md","754","adaptive-ecosystem-evolution\evolutionary-architecture-framework","736F00A21768EC48F19C58638901F8375C661EFB2B0CDAE26164477EC5E5A3A0","2026-07-19T13:19:51.9526962-05:00"
"adaptive-ecosystem-evolution\evolutionary-architecture-framework\EVOLUTIONARY_ARCHITECTURE_FRAMEWORK.md","EVOLUTIONARY_ARCHITECTURE_FRAMEWORK.md",".md","954","adaptive-ecosystem-evolution\evolutionary-architecture-framework","ED32475805C1568B17ACE0639EF7570B6926BF3D7BDAF75624761C6E4CEC71B5","2026-07-19T13:19:51.9624692-05:00"
"adaptive-ecosystem-evolution\final-consolidation\ADAPTIVE_EVOLUTION_COMPLETION_RECORD.md","ADAPTIVE_EVOLUTION_COMPLETION_RECORD.md",".md","862","adaptive-ecosystem-evolution\final-consolidation","7BB4F30C34510481D555146B74C1CD8371E585B050DBB6D0B05CCD59F2959C43","2026-07-19T13:20:24.0017805-05:00"
"adaptive-ecosystem-evolution\final-consolidation\ADAPTIVE_EVOLUTION_VALIDATION_REPORT.md","ADAPTIVE_EVOLUTION_VALIDATION_REPORT.md",".md","880","adaptive-ecosystem-evolution\final-consolidation","2D894698630595404D6DDE26CF6D0DB51D0C4B7FE75B38610D7112F145FDFA65","2026-07-19T13:20:23.9840544-05:00"
"adaptive-ecosystem-evolution\final-consolidation\EVOLUTIONARY_ECOSYSTEM_REFERENCE_STATE.md","EVOLUTIONARY_ECOSYSTEM_REFERENCE_STATE.md",".md","843","adaptive-ecosystem-evolution\final-consolidation","5CACEF48CAB1406965F070569E26EAF870C3C3DDCFF0DFFF590E0B42761C363F","2026-07-19T13:20:23.9840544-05:00"
"adaptive-ecosystem-evolution\recursive-knowledge-integration\KNOWLEDGE_EVOLUTION_RECORD.md","KNOWLEDGE_EVOLUTION_RECORD.md",".md","779","adaptive-ecosystem-evolution\recursive-knowledge-integration","AACA700948C9110115C4F8082D14E224297A7DC02C7408C94D8786D2083D0EEE","2026-07-19T13:19:18.3855979-05:00"
"adaptive-ecosystem-evolution\recursive-knowledge-integration\KNOWLEDGE_RELATIONSHIP_REGISTER.md","KNOWLEDGE_RELATIONSHIP_REGISTER.md",".md","802","adaptive-ecosystem-evolution\recursive-knowledge-integration","A300A3D418000B72D89B54A9BF231A146F1C1FBBD9CE6D8D36696199A707D88C","2026-07-19T13:19:18.3885981-05:00"
"adaptive-ecosystem-evolution\recursive-knowledge-integration\RECURSIVE_KNOWLEDGE_INTEGRATION_MODEL.md","RECURSIVE_KNOWLEDGE_INTEGRATION_MODEL.md",".md","879","adaptive-ecosystem-evolution\recursive-knowledge-integration","9811CE1E9CC019D6397C1A301EB29E0509C7A4D85A6991BEF94888F3277CA31E","2026-07-19T13:19:18.3816283-05:00"
