"RelativePath","ArtifactClass","Extension","SizeBytes","SHA256","ReleaseEligibility"
"phase-ii\models\INTEGRATED_ARCHITECTURE_MODEL.md","RUNTIME",".md","1632","3FE0942BB28707DD1FCE49BE638B45F975850F31F4EB65A760CA3D7F61572036","ELIGIBLE"
"phase-ii\runtime\EXECUTION_COORDINATION.md","RUNTIME",".md","1228","08F65E4FD955CAA04AA60C6F8B48540D6C0E8D9D91F2B8739EC3BE33B07DA775","ELIGIBLE"
"phase-ii\runtime\RUNTIME_ARCHITECTURE.md","RUNTIME",".md","1623","FD8E9813EF964D52BD0653709168E7B21FE2FDBBE679915D61A840C0664C5745","ELIGIBLE"
"phase-ii\runtime\STATE_MODEL.md","RUNTIME",".md","1166","A599FF2FD18BB06536A19566F86BC03DB73716FD8B9044AE50372EBC0E7AEAAE","ELIGIBLE"
"phase-ii\runtime\engine\EXECUTION_KERNEL_MODEL.md","RUNTIME",".md","1032","ED98072CD57BD0CA23E225F358E826076DA441F0C5E6F452062B0F919A05A019","ELIGIBLE"
"phase-ii\runtime\engine\RUNTIME_ENGINE_SPECIFICATION.md","RUNTIME",".md","1585","87CACACA5B210FB5B971214D2BF759BE620C9EEB54FCF5E2CDF0BE408FDA9756","ELIGIBLE"
"phase-ii\runtime\lifecycle\EVENT_PROCESSING_MODEL.md","RUNTIME",".md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","ELIGIBLE"
"phase-ii\runtime\lifecycle\LIFECYCLE_MANAGER.md","RUNTIME",".md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","ELIGIBLE"
"phase-ii\runtime\orchestration\CAPABILITY_ROUTING.md","RUNTIME",".md","822","C3203F7881ACAF59A73B0ABD0C7F0BBAE86F42475C48C2710618FCDCD69A4866","ELIGIBLE"
"phase-ii\runtime\orchestration\ORCHESTRATION_ENGINE.md","RUNTIME",".md","926","8B986623E0B7F9640F14C7B43147FED781113176FC4F472C83C63ED119EA81BE","ELIGIBLE"
"phase-ii\runtime\state\STATE_PERSISTENCE_MODEL.md","RUNTIME",".md","730","9CD0E1FE4FF1CB8F62CED582FA519A22D52D08F69821F70100E4E76B361781C8","ELIGIBLE"
