"RelativePath","ArtifactClass","Extension","SizeBytes","SHA256","ReleaseEligibility"
"evidence\ARCHITECTURE_FREEZE_DECLARATION.md","VERIFICATION",".md","1633","4CF159668DB5E569C5CFF06656C75D3DFE0101BB96D27BCC99B6AAEC313647A7","ELIGIBLE"
"execution\MS-001_CONSTITUTIONAL_INITIALIZATION\COMPARISON.md","VERIFICATION",".md","3431","890AD5791B982B1CCFE912975E5CBDAC6B4E79F30A9FC8D1527A3A980C3B4988","ELIGIBLE"
"execution\MS-001_CONSTITUTIONAL_INITIALIZATION\CONCLUSIONS.md","VERIFICATION",".md","2842","2EAD500D9E9B9DBE8BD0AD725611FA8F26AC0B35834AAFFB9528F934EEEEB89F","ELIGIBLE"
"execution\MS-001_CONSTITUTIONAL_INITIALIZATION\EVIDENCE.md","VERIFICATION",".md","2838","0F0974C8A24AC3AA6667E797183EF6CB0169233AE418047881BE9ADB5330FDBC","ELIGIBLE"
"execution\MS-001_CONSTITUTIONAL_INITIALIZATION\EXECUTION_TRACE.md","VERIFICATION",".md","3802","AE0235907CDCDE6502CD04FA4ACAA08AA3618869F6D29A323FABB2F5140CA420","ELIGIBLE"
"execution\MS-001_CONSTITUTIONAL_INITIALIZATION\MATHEMATICS.md","VERIFICATION",".md","3764","476D7BAFC8161C8E3F71974908ACB3D3C4A84A0289ECEAA5BEF539655F696274","ELIGIBLE"
"execution\MS-001_CONSTITUTIONAL_INITIALIZATION\OBSERVATIONS.md","VERIFICATION",".md","2133","DBDE7A928FA26088893515F9AC4F53FEE746ABF536AF008097AA84BD4B1AAF3C","ELIGIBLE"
"execution\MS-001_CONSTITUTIONAL_INITIALIZATION\POST_EXECUTION_REVIEW.md","VERIFICATION",".md","3348","C6F78343321FE84785215ECAD3D37F063845B6844BD255EAA72518959BDA873F","ELIGIBLE"
"execution\MS-001_CONSTITUTIONAL_INITIALIZATION\README.md","VERIFICATION",".md","1899","565EF3598C2F4A7A9CCD1E14C724C509F7CDA76F68891CC266B7C4B106C31E78","ELIGIBLE"
"execution\MS-001_CONSTITUTIONAL_INITIALIZATION\RECONSTRUCTION.md","VERIFICATION",".md","3967","E4D5A9DD0654EE9CF047156BE881FCD7061EDDE46290F625839D1D30356A7C15","ELIGIBLE"
"execution\MS-001_CONSTITUTIONAL_INITIALIZATION\REFERENCE_EXECUTION.md","VERIFICATION",".md","2436","21288A1865A64B422C12C73C6BCE073DE834AF835249D9177888EB797D00BD29","ELIGIBLE"
"execution\MS-001_CONSTITUTIONAL_INITIALIZATION\RQ.md","VERIFICATION",".md","3132","83F5C4D9A4E329ACE7FA51959CEA313B9EB4FD3E6759A5DCF40851B55BDCE3B6","ELIGIBLE"
"execution\MS-001_CONSTITUTIONAL_INITIALIZATION\SPECIFICATION.md","VERIFICATION",".md","4687","37034D7AA25A3384D12F2841E0133A61842D7C341AF46964154C185BCDFB9A0B","ELIGIBLE"
"execution\MS-001_CONSTITUTIONAL_INITIALIZATION\VERIFICATION.md","VERIFICATION",".md","1637","F003B626BE871619126B87F1ADDE15C50A684A07E7EE12E49DD26FB317335DF7","ELIGIBLE"
"execution\MS-002_ENTRY_ONTOLOGY_INITIALIZATION\COMPARISON.md","VERIFICATION",".md","2430","8CCAA5DFC52CEA5205E28C1121846B5BA48B3631F1FE90E567A393F269CFBC3A","ELIGIBLE"
"execution\MS-002_ENTRY_ONTOLOGY_INITIALIZATION\CONCLUSIONS.md","VERIFICATION",".md","3185","04F8DF440E3E2FA73EF910966DA4192FAAD6DCF8E00F4A4B7DEFC83A44FD2A2D","ELIGIBLE"
"execution\MS-002_ENTRY_ONTOLOGY_INITIALIZATION\EVIDENCE.md","VERIFICATION",".md","2022","C5D0C12F9EC4FCBBD191EE67E41DD070BDF8A7DEFAB58B426F5AB6A8C72FA33F","ELIGIBLE"
"execution\MS-002_ENTRY_ONTOLOGY_INITIALIZATION\EXECUTION_TRACE.md","VERIFICATION",".md","3088","2A2DD60268FEBA681B47B6623AD833F7BA6F73F2B31E9349715E00B2D0FCCB00","ELIGIBLE"
"execution\MS-002_ENTRY_ONTOLOGY_INITIALIZATION\MATHEMATICS.md","VERIFICATION",".md","3229","9354246B225CF6E557EC9656AE6A3D1866FC2E5A9E0373CCC81D73CC01042539","ELIGIBLE"
"execution\MS-002_ENTRY_ONTOLOGY_INITIALIZATION\OBSERVATIONS.md","VERIFICATION",".md","2078","CB0510945474952B5FC4DDF5E5002DF410E0E8F27B00A49ABD628D99A8D16798","ELIGIBLE"
"execution\MS-002_ENTRY_ONTOLOGY_INITIALIZATION\POST_EXECUTION_REVIEW.md","VERIFICATION",".md","3681","B5438EB729B585DAD58E5A40C6DA98AD08877F363CFBB917976863565D1C3B1D","ELIGIBLE"
"execution\MS-002_ENTRY_ONTOLOGY_INITIALIZATION\README.md","VERIFICATION",".md","2161","20A85202CCEE6B29475188F139ECA95383317A0319AF3E1BA123444468BAFA67","ELIGIBLE"
"execution\MS-002_ENTRY_ONTOLOGY_INITIALIZATION\RECONSTRUCTION.md","VERIFICATION",".md","2609","2AF367D169BC735C1FEFB4DC4A1A7ADC28400BD21B7EEC4ADFCAD7D0E3037C10","ELIGIBLE"
"execution\MS-002_ENTRY_ONTOLOGY_INITIALIZATION\REFERENCE_EXECUTION.md","VERIFICATION",".md","2360","9DFA173531FABB6655A412661DD5EA72F71BB79457CDC2516BC59D9184B2A0BC","ELIGIBLE"
"execution\MS-002_ENTRY_ONTOLOGY_INITIALIZATION\RQ.md","VERIFICATION",".md","2702","55DD4C9D0D320EB45E85B1F68D38CAB965086B436F708B09A077C905DFF34F39","ELIGIBLE"
"execution\MS-002_ENTRY_ONTOLOGY_INITIALIZATION\SPECIFICATION.md","VERIFICATION",".md","5514","318BC9C3B6A0508FC1162C566C5C4A9A3939DF82D0508AEB18FD28E9D9CC4794","ELIGIBLE"
"execution\MS-002_ENTRY_ONTOLOGY_INITIALIZATION\VERIFICATION.md","VERIFICATION",".md","2345","134887887DBC78234F2BDFA85AAD64C7EAD12683B72B3DD686FC8570EB28CA40","ELIGIBLE"
"execution\MS-003_CONSTITUTIONAL_NAVIGATION_INITIALIZATION\CHANGELOG.md","VERIFICATION",".md","1422","74D1EDC2172F26CB8FD6A93374C891FAD8ED0F3BE019210A8BF266777A7526C1","ELIGIBLE"
"execution\MS-003_CONSTITUTIONAL_NAVIGATION_INITIALIZATION\COMPARISON.md","VERIFICATION",".md","2202","5930D1164ABE76BF432F7E158D6AB3FEAD905AC5D8D0005949A7F3D3E72E2AE4","ELIGIBLE"
"execution\MS-003_CONSTITUTIONAL_NAVIGATION_INITIALIZATION\CONCLUSIONS.md","VERIFICATION",".md","2219","ED5641F46B05BA3CA151147D8234E5B57D2CD9F43785823CBC167A0D5F52F665","ELIGIBLE"
"execution\MS-003_CONSTITUTIONAL_NAVIGATION_INITIALIZATION\EVIDENCE.md","VERIFICATION",".md","2075","5B672847EF218F975EB1E0C5A458F7FCFFA131CBC06201E301A5F08E997466B1","ELIGIBLE"
"execution\MS-003_CONSTITUTIONAL_NAVIGATION_INITIALIZATION\EXECUTION_TRACE.md","VERIFICATION",".md","1641","8BF776A80245C282924DFE0EF42ECE5072A5DAB3BA14EDE6C571CBD207870E44","ELIGIBLE"
"execution\MS-003_CONSTITUTIONAL_NAVIGATION_INITIALIZATION\MATHEMATICS.md","VERIFICATION",".md","1974","AE65FF67BAD91E16B01031FCFF0AA0BB8681D99850C45B1F199F829B638033FA","ELIGIBLE"
"execution\MS-003_CONSTITUTIONAL_NAVIGATION_INITIALIZATION\OBSERVATIONS.md","VERIFICATION",".md","1953","68A1DCBDC75E1E419691D50B737F8D6060690056CF6B82882A07A59ADADA2CFA","ELIGIBLE"
"execution\MS-003_CONSTITUTIONAL_NAVIGATION_INITIALIZATION\POST_EXECUTION_REVIEW.md","VERIFICATION",".md","1959","D7912D5961BBE9CFE35F9B63BDDEB3295EC1E944832556C713B02EF4126DA7E2","ELIGIBLE"
"execution\MS-003_CONSTITUTIONAL_NAVIGATION_INITIALIZATION\README.md","VERIFICATION",".md","1412","360A210EDB99481F6933BF24A7FD0AEAA7E58C2D902C0E54C55FFF60D9098573","ELIGIBLE"
"execution\MS-003_CONSTITUTIONAL_NAVIGATION_INITIALIZATION\RECONSTRUCTION.md","VERIFICATION",".md","2244","AD80CF7CD087BFEDBCE8035C69EE98A632258D09CD35F30416B6D58D75148D3C","ELIGIBLE"
"execution\MS-003_CONSTITUTIONAL_NAVIGATION_INITIALIZATION\REFERENCE_EXECUTION.md","VERIFICATION",".md","2123","48E0FBD283702ED0E85EAC7EC7C51BF772F3EEC1D5BFE1CA82EC06F57B1206F2","ELIGIBLE"
"execution\MS-003_CONSTITUTIONAL_NAVIGATION_INITIALIZATION\RQ.md","VERIFICATION",".md","1720","E7C4F0F39150173EA548F318FD6AF79491B6AAEC239CF6C0E2203FDD98BC26D6","ELIGIBLE"
"execution\MS-003_CONSTITUTIONAL_NAVIGATION_INITIALIZATION\VERIFICATION.md","VERIFICATION",".md","2166","E2EE3C12BEAE6B1CE8269F45576248BB26D1D92D0FC466E4E18DA5F38338246C","ELIGIBLE"
"execution\MS-004_ECOSYSTEM_ORIENTATION_INITIALIZATION\CHANGELOG.md","VERIFICATION",".md","1507","FE49AAFC8BE025FABB2C8C58ECC3C35FE71496A61084891B3E91AD89C9EB5C4A","ELIGIBLE"
"execution\MS-004_ECOSYSTEM_ORIENTATION_INITIALIZATION\COMPARISON.md","VERIFICATION",".md","2535","81533C40DE91BB220C3B0138E5C330A2B602F508686907827A89491E81EC878F","ELIGIBLE"
"execution\MS-004_ECOSYSTEM_ORIENTATION_INITIALIZATION\CONCLUSIONS.md","VERIFICATION",".md","2170","F17D2E5DDD628C155E3E16E5F56E8FA2700354B6B44ACCE488A2289AFC28B495","ELIGIBLE"
"execution\MS-004_ECOSYSTEM_ORIENTATION_INITIALIZATION\EVIDENCE.md","VERIFICATION",".md","2260","6A60E0CCD96FB4DB87113B140768CF9CA026E16D20ABA8C33B2DB1C611B01E63","ELIGIBLE"
"execution\MS-004_ECOSYSTEM_ORIENTATION_INITIALIZATION\EXECUTION_TRACE.md","VERIFICATION",".md","1747","8EC7FB5668D91334EE2430B476E3BCD53CCDF2E64080128B6130684CAFA5AB9C","ELIGIBLE"
"execution\MS-004_ECOSYSTEM_ORIENTATION_INITIALIZATION\MATHEMATICS.md","VERIFICATION",".md","2062","8DC0EC275FFBE8834C383D4101E1F2CF0E88B8E1FFCA1A6861F753EDA9402E5D","ELIGIBLE"
"execution\MS-004_ECOSYSTEM_ORIENTATION_INITIALIZATION\OBSERVATIONS.md","VERIFICATION",".md","1958","F8900E5E5ED7A2C105CFD436B5494897AF8EE637BD4364728AC962E1A98C383F","ELIGIBLE"
"execution\MS-004_ECOSYSTEM_ORIENTATION_INITIALIZATION\POST_EXECUTION_REVIEW.md","VERIFICATION",".md","2222","FDF292ED3A71B1667D8B0B24DC17EA515AFE73F08E152829AA0CC7D58BE7ACEA","ELIGIBLE"
"execution\MS-004_ECOSYSTEM_ORIENTATION_INITIALIZATION\README.md","VERIFICATION",".md","1677","B6F360D67C88E7EF464AB7A54B67FA4B4762701864E5EE6C8573C6F299291023","ELIGIBLE"
"execution\MS-004_ECOSYSTEM_ORIENTATION_INITIALIZATION\RECONSTRUCTION.md","VERIFICATION",".md","2465","268DC713D304244603868BA0EBA4BA4CFC86F6E0E287C3E9D3A49C6A429D4EE3","ELIGIBLE"
"execution\MS-004_ECOSYSTEM_ORIENTATION_INITIALIZATION\REFERENCE_EXECUTION.md","VERIFICATION",".md","2327","2613725B2EF6360FFC9AE6179E35B0C5A4737AD0F82CCC79ACCE2E11EA8B7C76","ELIGIBLE"
"execution\MS-004_ECOSYSTEM_ORIENTATION_INITIALIZATION\RQ.md","VERIFICATION",".md","1670","24273334BC84E7BB601718254EE6E005581D9D074008CF6F1B5845D802F21027","ELIGIBLE"
"execution\MS-004_ECOSYSTEM_ORIENTATION_INITIALIZATION\VERIFICATION.md","VERIFICATION",".md","2301","62C5BB71AA7A368A869CB0A7239E93AAFC9A6D40DCDEB140C3072CC840C7B6CC","ELIGIBLE"
"execution\MS-005_FRAMEWORK_DISCOVERY_INITIALIZATION\CHANGELOG.md","VERIFICATION",".md","1501","E5CC1D71CCCC7736AF24F9BD4BBBAB6ED8BC4BB5530AEE5F9360D00676CB8B4C","ELIGIBLE"
"execution\MS-005_FRAMEWORK_DISCOVERY_INITIALIZATION\COMPARISON.md","VERIFICATION",".md","2591","CD3AA5122C37D128211DEF33309D42AE5B1542B727622391552722E00E22A68E","ELIGIBLE"
"execution\MS-005_FRAMEWORK_DISCOVERY_INITIALIZATION\CONCLUSIONS.md","VERIFICATION",".md","2241","3CBC15865FB6149D27A6A0FA93AB8D49DF24594AA91C2C49C77EFDEA194483B2","ELIGIBLE"
"execution\MS-005_FRAMEWORK_DISCOVERY_INITIALIZATION\EVIDENCE.md","VERIFICATION",".md","2331","50F675AF792D297B9F344E620A0307177CA8E3CE506C949B6A6E55FFA60DC906","ELIGIBLE"
"execution\MS-005_FRAMEWORK_DISCOVERY_INITIALIZATION\EXECUTION_TRACE.md","VERIFICATION",".md","1805","B1B834C9D2B9A838CA17A24595902875C6A78A16DB04E7F1632CE396C2CBB009","ELIGIBLE"
"execution\MS-005_FRAMEWORK_DISCOVERY_INITIALIZATION\MATHEMATICS.md","VERIFICATION",".md","2059","C80F893EE39C696F1150FF69DB294CAA8DCB99AB729B6B5067553BFC05EC6591","ELIGIBLE"
"execution\MS-005_FRAMEWORK_DISCOVERY_INITIALIZATION\OBSERVATIONS.md","VERIFICATION",".md","1869","AF59DB99175B4F7511CF4EEBE664EDF30C84A8A2FC68AAF31D763E2F62D41D12","ELIGIBLE"
"execution\MS-005_FRAMEWORK_DISCOVERY_INITIALIZATION\POST_EXECUTION_REVIEW.md","VERIFICATION",".md","2224","C4BA0569B45D690A41FE0C75C82EB07BF052E1B70B493CC7862D59A8DA2C60CE","ELIGIBLE"
"execution\MS-005_FRAMEWORK_DISCOVERY_INITIALIZATION\README.md","VERIFICATION",".md","1740","BDE8625FA4FC255C39D729DE34798517AD4774C85D8293D2AC7DF8CFD936B77B","ELIGIBLE"
"execution\MS-005_FRAMEWORK_DISCOVERY_INITIALIZATION\RECONSTRUCTION.md","VERIFICATION",".md","2576","F4D1AB9971F9391BDBE6EA5D004F9C31FFB4DC57E670F3303054E7219AB16861","ELIGIBLE"
"execution\MS-005_FRAMEWORK_DISCOVERY_INITIALIZATION\REFERENCE_EXECUTION.md","VERIFICATION",".md","2430","0E989AEAA089FCE0B66421FD051CE70726979C8BD6B7CD53CF9559AEADCC5A17","ELIGIBLE"
