TransitionID,FromStatus,ToStatus,AuthorityRequired,EvidenceRequired,Permitted,Status
MS-LC-001,PROPOSED,REGISTERED,TRUE,TRUE,TRUE,CANONICAL
MS-LC-002,REGISTERED,ACTIVE,TRUE,TRUE,TRUE,CANONICAL
MS-LC-003,ACTIVE,UNDER_REVIEW,TRUE,TRUE,TRUE,CANONICAL
MS-LC-004,UNDER_REVIEW,VERIFIED,TRUE,TRUE,TRUE,CANONICAL
MS-LC-005,UNDER_REVIEW,ACTIVE,TRUE,TRUE,TRUE,CANONICAL
MS-LC-006,ACTIVE,SUPERSEDED,TRUE,TRUE,TRUE,CANONICAL
MS-LC-007,VERIFIED,SUPERSEDED,TRUE,TRUE,TRUE,CANONICAL
MS-LC-008,ACTIVE,DEPRECATED,TRUE,TRUE,TRUE,CANONICAL
MS-LC-009,DEPRECATED,ACTIVE,TRUE,TRUE,TRUE,CANONICAL
MS-LC-010,ACTIVE,REVOKED,TRUE,TRUE,TRUE,CANONICAL
MS-LC-011,REGISTERED,REJECTED,TRUE,TRUE,TRUE,CANONICAL
MS-LC-012,UNDER_REVIEW,REJECTED,TRUE,TRUE,TRUE,CANONICAL
MS-LC-013,UNRESOLVED,UNDER_REVIEW,TRUE,TRUE,TRUE,CANONICAL
MS-LC-014,REVOKED,UNDER_REVIEW,TRUE,TRUE,TRUE,CANONICAL
MS-LC-015,SUPERSEDED,ACTIVE,TRUE,TRUE,FALSE,PROHIBITED
MS-LC-016,ARCHIVED,ACTIVE,TRUE,TRUE,FALSE,PROHIBITED
MS-LC-017,REJECTED,ACTIVE,TRUE,TRUE,FALSE,PROHIBITED
