ObjectClassID,ObjectClass,ParentClass,IdentityRequired,AuthorityRequired,ProvenanceRequired,UncertaintyRequired,VersionRequired,Status
MS-OC-001,Framework,CanonicalObject,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-002,CanonicalObject,NONE,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-003,SemanticUnit,CanonicalObject,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-004,Actor,CanonicalObject,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-005,Observer,Actor,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-006,Participant,Actor,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-007,Steward,Participant,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-008,ConstitutionalMaintainer,Steward,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-009,AuthoritySource,CanonicalObject,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-010,Dependency,CanonicalObject,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-011,EntryPoint,CanonicalObject,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-012,SemanticState,CanonicalObject,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-013,ParticipationState,CanonicalObject,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-014,Interpretation,CanonicalObject,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-015,UncertaintyObject,CanonicalObject,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-016,ProvenanceRecord,CanonicalObject,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-017,EvidenceObject,CanonicalObject,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-018,DriftEvent,CanonicalObject,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-019,ReconstructionEvent,CanonicalObject,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-020,Revision,CanonicalObject,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-021,FrameworkAdmission,CanonicalObject,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-022,VerificationResult,CanonicalObject,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-023,AuditFinding,CanonicalObject,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
MS-OC-024,CorrectionRecord,CanonicalObject,TRUE,TRUE,TRUE,TRUE,TRUE,CANONICAL
