RelationshipID,RelationshipClass,SourceRequirement,TargetRequirement,AuthorityRequired,ProvenanceRequired,Status
MS-REL-001,DEFINES,CanonicalObject,CanonicalObject,TRUE,TRUE,CANONICAL
MS-REL-002,GOVERNS,AuthoritySource,CanonicalObject,TRUE,TRUE,CANONICAL
MS-REL-003,OWNS,AuthoritySource,CanonicalObject,TRUE,TRUE,CANONICAL
MS-REL-004,REFERENCES,CanonicalObject,CanonicalObject,TRUE,TRUE,CANONICAL
MS-REL-005,DEPENDS_ON,CanonicalObject,CanonicalObject,TRUE,TRUE,CANONICAL
MS-REL-006,REQUIRES,CanonicalObject,CanonicalObject,TRUE,TRUE,CANONICAL
MS-REL-007,DERIVES_FROM,CanonicalObject,CanonicalObject,TRUE,TRUE,CANONICAL
MS-REL-008,INTERPRETS,Interpretation,CanonicalObject,TRUE,TRUE,CANONICAL
MS-REL-009,EVIDENCES,EvidenceObject,CanonicalObject,TRUE,TRUE,CANONICAL
MS-REL-010,VERIFIES,VerificationResult,CanonicalObject,TRUE,TRUE,CANONICAL
MS-REL-011,CONTRADICTS,CanonicalObject,CanonicalObject,TRUE,TRUE,CANONICAL
MS-REL-012,SUPERSEDES,Revision,CanonicalObject,TRUE,TRUE,CANONICAL
MS-REL-013,REVISES,Revision,CanonicalObject,TRUE,TRUE,CANONICAL
MS-REL-014,RECONSTRUCTS,ReconstructionEvent,CanonicalObject,TRUE,TRUE,CANONICAL
MS-REL-015,ADMITS,FrameworkAdmission,Framework,TRUE,TRUE,CANONICAL
MS-REL-016,EXCLUDES,CanonicalObject,CanonicalObject,TRUE,TRUE,CANONICAL
MS-REL-017,IMPLEMENTS,CanonicalObject,CanonicalObject,TRUE,TRUE,CANONICAL
MS-REL-018,AUDITS,AuditFinding,CanonicalObject,TRUE,TRUE,CANONICAL
MS-REL-019,CORRECTS,CorrectionRecord,AuditFinding,TRUE,TRUE,CANONICAL
