InterpretationClassID,InterpretationClass,CanonicalAuthorityPossible,DerivationRequired,UncertaintyRequired,Status
MS-IC-001,CANONICAL,TRUE,FALSE,TRUE,CANONICAL
MS-IC-002,LITERAL,FALSE,FALSE,TRUE,CANONICAL
MS-IC-003,CONTEXTUAL,FALSE,TRUE,TRUE,CANONICAL
MS-IC-004,DERIVED,FALSE,TRUE,TRUE,CANONICAL
MS-IC-005,COMPARATIVE,FALSE,TRUE,TRUE,CANONICAL
MS-IC-006,ANALOGICAL,FALSE,TRUE,TRUE,CANONICAL
MS-IC-007,OPERATIONAL,FALSE,TRUE,TRUE,CANONICAL
MS-IC-008,EDUCATIONAL,FALSE,TRUE,TRUE,CANONICAL
MS-IC-009,TRANSLATIONAL,FALSE,TRUE,TRUE,CANONICAL
MS-IC-010,SPECULATIVE,FALSE,TRUE,TRUE,CANONICAL
MS-IC-011,CRITICAL,FALSE,TRUE,TRUE,CANONICAL
MS-IC-012,CONFLICTING,FALSE,TRUE,TRUE,CANONICAL
MS-IC-013,RECONSTRUCTED,FALSE,TRUE,TRUE,CANONICAL
MS-IC-014,UNRESOLVED,FALSE,FALSE,TRUE,CANONICAL
MS-IC-015,INADMISSIBLE,FALSE,FALSE,TRUE,CANONICAL
