"MatchID","TheoremID","MatchClass","Priority","SourcePath","LineNumber","MatchedTerms","SourceText","ReviewStatus","CanonicalUse","Notes"
"SRC-0001","MS-T1","EXACT_THEOREM_ID","1","registries/THEOREM_VERIFICATION_REGISTER.csv","2","MS-T1","""MS-VER-T1-001"",""MS-T1"",""Governed Initiation Comparative Trial"",""DESIGN_CANDIDATE"",""NOT_COLLECTED"",""NOT_STARTED"",""OPEN"",""CONTROLLED_OBSERVER_TRIAL"",""ENTRY_CONDITION"",""MATERIAL_SEMANTIC_DIVERGENCE"",""UNRESTRICTED_ENTRY"",""GOVERNED_INITIATION"",""REQUIRED"",""0.1.0"",""Executable verification package instantiated at volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL.""","UNREVIEWED","UNDETERMINED",""
"SRC-0002","MS-T1","EXACT_THEOREM_ID","1","volumes/VOLUME_I_FOUNDATION/FORMAL_MORNING_STAR_THEORY.md","266","MS-T1","### Theorem MS-T1 â€” Governed Initiation Necessity","UNREVIEWED","UNDETERMINED",""
"SRC-0003","MS-T1","EXACT_THEOREM_ID","1","volumes/VOLUME_I_FOUNDATION/THEOREM_REGISTRY.md","47","MS-T1","## 3. Theorem MS-T1 â€” Governed Initiation Necessity","UNREVIEWED","UNDETERMINED",""
"SRC-0004","MS-T1","EXACT_THEOREM_ID","1","volumes/VOLUME_I_FOUNDATION/THEOREM_REGISTRY.md","396","MS-T1","+-- MS-T1 Governed Initiation Necessity","UNREVIEWED","UNDETERMINED",""
"SRC-0005","MS-T1","EXACT_THEOREM_ID","1","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/DATA_DICTIONARY.md","1","MS-T1","# MS-T1 Data Dictionary","UNREVIEWED","UNDETERMINED",""
"SRC-0006","MS-T1","EXACT_THEOREM_ID","1","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/DESIGN.md","1","MS-T1","# MS-T1 â€” Governed Initiation Comparative Trial","UNREVIEWED","UNDETERMINED",""
"SRC-0007","MS-T1","EXACT_THEOREM_ID","1","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/DESIGN.md","4","MS-T1","**Theorem Identifier:** MS-T1","UNREVIEWED","UNDETERMINED",""
"SRC-0008","MS-T1","EXACT_THEOREM_ID","1","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/DESIGN.md","145","MS-T1","MS-T1 receives preliminary support when:","UNREVIEWED","UNDETERMINED",""
"SRC-0009","MS-T1","EXACT_THEOREM_ID","1","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/DESIGN.md","155","MS-T1","MS-T1 is falsified within the tested scope when:","UNREVIEWED","UNDETERMINED",""
"SRC-0010","MS-T1","EXACT_THEOREM_ID","1","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/DISPOSITION.md","1","MS-T1","# MS-T1 Disposition","UNREVIEWED","UNDETERMINED",""
"SRC-0011","MS-T1","EXACT_THEOREM_ID","1","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/DISPOSITION.md","5","MS-T1","**Theorem Identifier:** MS-T1","UNREVIEWED","UNDETERMINED",""
"SRC-0012","MS-T1","EXACT_THEOREM_ID","1","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/LIMITATIONS.md","1","MS-T1","# MS-T1 Limitations","UNREVIEWED","UNDETERMINED",""
"SRC-0013","MS-T1","EXACT_THEOREM_ID","1","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/PROCEDURE.md","1","MS-T1","# MS-T1 Trial Procedure","UNREVIEWED","UNDETERMINED",""
"SRC-0014","MS-T1","EXACT_THEOREM_ID","1","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/REPRODUCIBILITY.md","1","MS-T1","# MS-T1 Reproducibility Requirements","UNREVIEWED","UNDETERMINED",""
"SRC-0015","MS-T1","EXACT_THEOREM_ID","1","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/RESULTS.md","1","MS-T1","# MS-T1 Results","UNREVIEWED","UNDETERMINED",""
"SRC-0016","MS-T1","EXACT_THEOREM_ID","1","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/SCORING_MODEL.md","1","MS-T1","# MS-T1 Scoring Model","UNREVIEWED","UNDETERMINED",""
"SRC-0017","MS-T1","EXACT_THEOREM_ID","1","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/TRIAL_CASES.csv","2","MS-T1","""MS-T1-CASE-001"","""","""","""","""","""","""","""","""",""DRAFT""","UNREVIEWED","UNDETERMINED",""
"SRC-0018","MS-T1","EXACT_THEOREM_ID","1","volumes/VOLUME_I_FOUNDATION/verification/THEOREM_VERIFICATION_ARCHITECTURE.md","114","MS-T1","## 7. MS-T1 Verification Design","UNREVIEWED","UNDETERMINED",""
"SRC-0019","MS-T1","EXACT_THEOREM_ID","1","volumes/VOLUME_I_FOUNDATION/verification/THEOREM_VERIFICATION_ARCHITECTURE.md","148","MS-T1","MS-T1 is supported within scope when the governed group demonstrates a reproducible reduction in material divergence without introducing equivalent or greater governance-caused distortion.","UNREVIEWED","UNDETERMINED",""
"SRC-0020","MS-T1","EXACT_THEOREM_ID","1","volumes/VOLUME_I_FOUNDATION/verification/THEOREM_VERIFICATION_ARCHITECTURE.md","152","MS-T1","MS-T1 is falsified within scope when unrestricted entry performs equivalently or better across repeated trials using the same material-property criteria.","UNREVIEWED","UNDETERMINED",""
