"AssessmentID","ResponseID","PropertyClass","AssessorID","AssessmentResult","Materiality","Compensability","EvidenceReference","Rationale","TransferDisposition","AdjudicationStatus","FinalResult"
"MS-T4-ASM-001","MS-T4-RESP-001-A","IDENTITY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-A;IDENTITY","Identical domain and governing version permitted bounded transfer of verified competence.","TRANSFER_VALID","NOT_REQUIRED","PRESERVED"
"MS-T4-ASM-002","MS-T4-RESP-001-A","DEFINITION","AS-001","PRESERVED","MATERIAL","COMPENSABLE","MS-T4-RESP-001-A;DEFINITION","Identical domain and governing version permitted bounded transfer of verified competence.","TRANSFER_VALID","NOT_REQUIRED","PRESERVED"
"MS-T4-ASM-003","MS-T4-RESP-001-A","BOUNDARY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-A;BOUNDARY","Identical domain and governing version permitted bounded transfer of verified competence.","TRANSFER_VALID","NOT_REQUIRED","PRESERVED"
"MS-T4-ASM-004","MS-T4-RESP-001-A","DEPENDENCY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-A;DEPENDENCY","Identical domain and governing version permitted bounded transfer of verified competence.","TRANSFER_VALID","NOT_REQUIRED","PRESERVED"
"MS-T4-ASM-005","MS-T4-RESP-001-A","VERSION","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-A;VERSION","Identical domain and governing version permitted bounded transfer of verified competence.","TRANSFER_VALID","NOT_REQUIRED","PRESERVED"
"MS-T4-ASM-006","MS-T4-RESP-001-A","AUTHORITY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-A;AUTHORITY","Identical domain and governing version permitted bounded transfer of verified competence.","TRANSFER_VALID","NOT_REQUIRED","PRESERVED"
"MS-T4-ASM-007","MS-T4-RESP-001-A","UNCERTAINTY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-A;UNCERTAINTY","Identical domain and governing version permitted bounded transfer of verified competence.","TRANSFER_VALID","NOT_REQUIRED","PRESERVED"
"MS-T4-ASM-008","MS-T4-RESP-001-A","TRANSFER_RULE","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-A;TRANSFER_RULE","Identical domain and governing version permitted bounded transfer of verified competence.","TRANSFER_VALID","NOT_REQUIRED","PRESERVED"
"MS-T4-ASM-009","MS-T4-RESP-001-A","REVALIDATION","AS-001","PRESERVED","MATERIAL","COMPENSABLE","MS-T4-RESP-001-A;REVALIDATION","Identical domain and governing version permitted bounded transfer of verified competence.","TRANSFER_VALID","NOT_REQUIRED","PRESERVED"
"MS-T4-ASM-010","MS-T4-RESP-001-B","IDENTITY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-B;IDENTITY","Superseded source-version knowledge caused material target-version, authority, uncertainty, and revalidation errors.","REVALIDATION_REQUIRED","NOT_REQUIRED","PRESERVED"
"MS-T4-ASM-011","MS-T4-RESP-001-B","DEFINITION","AS-001","PRESERVED","MATERIAL","COMPENSABLE","MS-T4-RESP-001-B;DEFINITION","Superseded source-version knowledge caused material target-version, authority, uncertainty, and revalidation errors.","REVALIDATION_REQUIRED","NOT_REQUIRED","PRESERVED"
"MS-T4-ASM-012","MS-T4-RESP-001-B","BOUNDARY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-B;BOUNDARY","Superseded source-version knowledge caused material target-version, authority, uncertainty, and revalidation errors.","REVALIDATION_REQUIRED","NOT_REQUIRED","PRESERVED"
"MS-T4-ASM-013","MS-T4-RESP-001-B","DEPENDENCY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-B;DEPENDENCY","Superseded source-version knowledge caused material target-version, authority, uncertainty, and revalidation errors.","REVALIDATION_REQUIRED","NOT_REQUIRED","PRESERVED"
"MS-T4-ASM-014","MS-T4-RESP-001-B","VERSION","AS-001","NEGATIVE_TRANSFER","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-B;VERSION","Superseded source-version knowledge caused material target-version, authority, uncertainty, and revalidation errors.","REVALIDATION_REQUIRED","NOT_REQUIRED","NEGATIVE_TRANSFER"
"MS-T4-ASM-015","MS-T4-RESP-001-B","AUTHORITY","AS-001","NEGATIVE_TRANSFER","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-B;AUTHORITY","Superseded source-version knowledge caused material target-version, authority, uncertainty, and revalidation errors.","REVALIDATION_REQUIRED","NOT_REQUIRED","NEGATIVE_TRANSFER"
"MS-T4-ASM-016","MS-T4-RESP-001-B","UNCERTAINTY","AS-001","TRANSFER_ERROR","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-B;UNCERTAINTY","Superseded source-version knowledge caused material target-version, authority, uncertainty, and revalidation errors.","REVALIDATION_REQUIRED","NOT_REQUIRED","TRANSFER_ERROR"
"MS-T4-ASM-017","MS-T4-RESP-001-B","TRANSFER_RULE","AS-001","TRANSFER_ERROR","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-B;TRANSFER_RULE","Superseded source-version knowledge caused material target-version, authority, uncertainty, and revalidation errors.","REVALIDATION_REQUIRED","NOT_REQUIRED","TRANSFER_ERROR"
"MS-T4-ASM-018","MS-T4-RESP-001-B","REVALIDATION","AS-001","NEGATIVE_TRANSFER","MATERIAL","COMPENSABLE","MS-T4-RESP-001-B;REVALIDATION","Superseded source-version knowledge caused material target-version, authority, uncertainty, and revalidation errors.","REVALIDATION_REQUIRED","NOT_REQUIRED","NEGATIVE_TRANSFER"
"MS-T4-ASM-019","MS-T4-RESP-001-C","IDENTITY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-C;IDENTITY","Only general reconstruction and uncertainty-governance capabilities transferred; target-specific revision competence remained bounded.","TRANSFER_PARTIAL","NOT_REQUIRED","PRESERVED"
"MS-T4-ASM-020","MS-T4-RESP-001-C","DEFINITION","AS-001","PARTIAL_TRANSFER","MATERIAL","COMPENSABLE","MS-T4-RESP-001-C;DEFINITION","Only general reconstruction and uncertainty-governance capabilities transferred; target-specific revision competence remained bounded.","TRANSFER_PARTIAL","NOT_REQUIRED","PARTIAL_TRANSFER"
"MS-T4-ASM-021","MS-T4-RESP-001-C","BOUNDARY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-C;BOUNDARY","Only general reconstruction and uncertainty-governance capabilities transferred; target-specific revision competence remained bounded.","TRANSFER_PARTIAL","NOT_REQUIRED","PRESERVED"
"MS-T4-ASM-022","MS-T4-RESP-001-C","DEPENDENCY","AS-001","PARTIAL_TRANSFER","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-C;DEPENDENCY","Only general reconstruction and uncertainty-governance capabilities transferred; target-specific revision competence remained bounded.","TRANSFER_PARTIAL","NOT_REQUIRED","PARTIAL_TRANSFER"
"MS-T4-ASM-023","MS-T4-RESP-001-C","VERSION","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-C;VERSION","Only general reconstruction and uncertainty-governance capabilities transferred; target-specific revision competence remained bounded.","TRANSFER_PARTIAL","NOT_REQUIRED","PRESERVED"
"MS-T4-ASM-024","MS-T4-RESP-001-C","AUTHORITY","AS-001","PARTIAL_TRANSFER","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-C;AUTHORITY","Only general reconstruction and uncertainty-governance capabilities transferred; target-specific revision competence remained bounded.","TRANSFER_PARTIAL","NOT_REQUIRED","PARTIAL_TRANSFER"
"MS-T4-ASM-025","MS-T4-RESP-001-C","UNCERTAINTY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-C;UNCERTAINTY","Only general reconstruction and uncertainty-governance capabilities transferred; target-specific revision competence remained bounded.","TRANSFER_PARTIAL","NOT_REQUIRED","PRESERVED"
"MS-T4-ASM-026","MS-T4-RESP-001-C","TRANSFER_RULE","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-C;TRANSFER_RULE","Only general reconstruction and uncertainty-governance capabilities transferred; target-specific revision competence remained bounded.","TRANSFER_PARTIAL","NOT_REQUIRED","PRESERVED"
"MS-T4-ASM-027","MS-T4-RESP-001-C","REVALIDATION","AS-001","PRESERVED","MATERIAL","COMPENSABLE","MS-T4-RESP-001-C;REVALIDATION","Only general reconstruction and uncertainty-governance capabilities transferred; target-specific revision competence remained bounded.","TRANSFER_PARTIAL","NOT_REQUIRED","PRESERVED"
"MS-T4-ASM-028","MS-T4-RESP-001-D","IDENTITY","AS-001","INSUFFICIENT_EVIDENCE","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-D;IDENTITY","The observer correctly refused unsupported cross-domain competence and preserved the absence of transfer authority.","TRANSFER_INVALID","NOT_REQUIRED","INSUFFICIENT_EVIDENCE"
"MS-T4-ASM-029","MS-T4-RESP-001-D","DEFINITION","AS-001","INSUFFICIENT_EVIDENCE","MATERIAL","COMPENSABLE","MS-T4-RESP-001-D;DEFINITION","The observer correctly refused unsupported cross-domain competence and preserved the absence of transfer authority.","TRANSFER_INVALID","NOT_REQUIRED","INSUFFICIENT_EVIDENCE"
"MS-T4-ASM-030","MS-T4-RESP-001-D","BOUNDARY","AS-001","INSUFFICIENT_EVIDENCE","MATERIAL","NON_COMPENSABLE","MS-T4-RESP-001-D;BOUNDARY","The observer correctly refused unsupported cross-domain competence and preserved the absence of transfer authority.","TRANSFER_INVALID","NOT_REQUIRED","INSUFFICIENT_EVIDENCE"
