"AssessmentID","ResponseID","PropertyClass","AssessorID","AssessmentResult","Materiality","Compensability","EvidenceReference","Rationale","RevalidationDisposition","AdjudicationStatus","FinalResult"
"MS-T5-ASM-001","MS-T5-RESP-001-A","IDENTITY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T5-RESP-001-A;IDENTITY","Controlled revalidation restored alignment with all assessed material properties in version 2.0.0.","REVALIDATION_VALID","NOT_REQUIRED","PRESERVED"
"MS-T5-ASM-002","MS-T5-RESP-001-A","DEFINITION","AS-001","PRESERVED","MATERIAL","COMPENSABLE","MS-T5-RESP-001-A;DEFINITION","Controlled revalidation restored alignment with all assessed material properties in version 2.0.0.","REVALIDATION_VALID","NOT_REQUIRED","PRESERVED"
"MS-T5-ASM-003","MS-T5-RESP-001-A","BOUNDARY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T5-RESP-001-A;BOUNDARY","Controlled revalidation restored alignment with all assessed material properties in version 2.0.0.","REVALIDATION_VALID","NOT_REQUIRED","PRESERVED"
"MS-T5-ASM-004","MS-T5-RESP-001-A","DEPENDENCY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T5-RESP-001-A;DEPENDENCY","Controlled revalidation restored alignment with all assessed material properties in version 2.0.0.","REVALIDATION_VALID","NOT_REQUIRED","PRESERVED"
"MS-T5-ASM-005","MS-T5-RESP-001-A","VERSION","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T5-RESP-001-A;VERSION","Controlled revalidation restored alignment with all assessed material properties in version 2.0.0.","REVALIDATION_VALID","NOT_REQUIRED","PRESERVED"
"MS-T5-ASM-006","MS-T5-RESP-001-A","AUTHORITY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T5-RESP-001-A;AUTHORITY","Controlled revalidation restored alignment with all assessed material properties in version 2.0.0.","REVALIDATION_VALID","NOT_REQUIRED","PRESERVED"
"MS-T5-ASM-007","MS-T5-RESP-001-A","UNCERTAINTY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T5-RESP-001-A;UNCERTAINTY","Controlled revalidation restored alignment with all assessed material properties in version 2.0.0.","REVALIDATION_VALID","NOT_REQUIRED","PRESERVED"
"MS-T5-ASM-008","MS-T5-RESP-001-A","PROCEDURE","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T5-RESP-001-A;PROCEDURE","Controlled revalidation restored alignment with all assessed material properties in version 2.0.0.","REVALIDATION_VALID","NOT_REQUIRED","PRESERVED"
"MS-T5-ASM-009","MS-T5-RESP-001-A","REVALIDATION","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T5-RESP-001-A;REVALIDATION","Controlled revalidation restored alignment with all assessed material properties in version 2.0.0.","REVALIDATION_VALID","NOT_REQUIRED","PRESERVED"
"MS-T5-ASM-010","MS-T5-RESP-001-B","IDENTITY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T5-RESP-001-B;IDENTITY","Failure to revalidate preserved obsolete version, authority, uncertainty, and procedural assumptions after material revision.","STALE_OBSERVER_STATE","NOT_REQUIRED","PRESERVED"
"MS-T5-ASM-011","MS-T5-RESP-001-B","DEFINITION","AS-001","PRESERVED","MATERIAL","COMPENSABLE","MS-T5-RESP-001-B;DEFINITION","Failure to revalidate preserved obsolete version, authority, uncertainty, and procedural assumptions after material revision.","STALE_OBSERVER_STATE","NOT_REQUIRED","PRESERVED"
"MS-T5-ASM-012","MS-T5-RESP-001-B","BOUNDARY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T5-RESP-001-B;BOUNDARY","Failure to revalidate preserved obsolete version, authority, uncertainty, and procedural assumptions after material revision.","STALE_OBSERVER_STATE","NOT_REQUIRED","PRESERVED"
"MS-T5-ASM-013","MS-T5-RESP-001-B","DEPENDENCY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T5-RESP-001-B;DEPENDENCY","Failure to revalidate preserved obsolete version, authority, uncertainty, and procedural assumptions after material revision.","STALE_OBSERVER_STATE","NOT_REQUIRED","PRESERVED"
"MS-T5-ASM-014","MS-T5-RESP-001-B","VERSION","AS-001","STALE","MATERIAL","NON_COMPENSABLE","MS-T5-RESP-001-B;VERSION","Failure to revalidate preserved obsolete version, authority, uncertainty, and procedural assumptions after material revision.","STALE_OBSERVER_STATE","NOT_REQUIRED","STALE"
"MS-T5-ASM-015","MS-T5-RESP-001-B","AUTHORITY","AS-001","STALE","MATERIAL","NON_COMPENSABLE","MS-T5-RESP-001-B;AUTHORITY","Failure to revalidate preserved obsolete version, authority, uncertainty, and procedural assumptions after material revision.","STALE_OBSERVER_STATE","NOT_REQUIRED","STALE"
"MS-T5-ASM-016","MS-T5-RESP-001-B","UNCERTAINTY","AS-001","STALE","MATERIAL","NON_COMPENSABLE","MS-T5-RESP-001-B;UNCERTAINTY","Failure to revalidate preserved obsolete version, authority, uncertainty, and procedural assumptions after material revision.","STALE_OBSERVER_STATE","NOT_REQUIRED","STALE"
"MS-T5-ASM-017","MS-T5-RESP-001-B","PROCEDURE","AS-001","STALE","MATERIAL","NON_COMPENSABLE","MS-T5-RESP-001-B;PROCEDURE","Failure to revalidate preserved obsolete version, authority, uncertainty, and procedural assumptions after material revision.","STALE_OBSERVER_STATE","NOT_REQUIRED","STALE"
"MS-T5-ASM-018","MS-T5-RESP-001-B","REVALIDATION","AS-001","REVALIDATION_FAILURE","MATERIAL","NON_COMPENSABLE","MS-T5-RESP-001-B;REVALIDATION","Failure to revalidate preserved obsolete version, authority, uncertainty, and procedural assumptions after material revision.","STALE_OBSERVER_STATE","NOT_REQUIRED","REVALIDATION_FAILURE"
"MS-T5-ASM-019","MS-T5-RESP-CTRL-001","IDENTITY","AS-001","PRESERVED","NON_MATERIAL","NON_COMPENSABLE","MS-T5-RESP-CTRL-001;IDENTITY","The non-material editorial control preserved all governing properties and did not require constitutional revalidation.","REVALIDATION_NOT_REQUIRED","NOT_REQUIRED","PRESERVED"
