"EvidenceID","EvidenceType","SourceReference","GoverningVersion","ProvenanceAuthority","IntegrityReference","UncertaintyState","AccessibilityState","EvidenceStatus"
"MS-T8-EVIDENCE-001","","","1.0.0","","","","","ADMISSIBLE"
"MS-T8-EVIDENCE-002","","","1.0.0","","","","","ADMISSIBLE"
"MS-T8-EVIDENCE-003","","","1.0.0","","","","","ADMISSIBLE"
"MS-T8-EVIDENCE-004","","","1.0.0","","","","","ADMISSIBLE"
"MS-T8-EVIDENCE-005","","","1.0.0","","","","","ADMISSIBLE"
"MS-T8-EVIDENCE-006","","","1.0.0","","","","","ADMISSIBLE"
"MS-T8-EVIDENCE-007","","","1.0.0","","","","","ADMISSIBLE"
"MS-T8-EVIDENCE-008","","","1.0.0","","","","","ADMISSIBLE"
"MS-T8-EVIDENCE-009","","","1.0.0","","","","","ADMISSIBLE"
"MS-T8-EVIDENCE-010","","","1.0.0","","","","","ADMISSIBLE"
