"AssessmentID","ResponseID","PropertyClass","AssessorID","AssessmentResult","FailureClass","Materiality","Compensability","EvidenceReference","Rationale","AdjudicationStatus","FinalResult"
"MS-T8-ASM-001","MS-T8-RESP-001","CANONICAL_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-001;CANONICAL_SOURCE","CANONICAL_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-002","MS-T8-RESP-001","VERSION_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-001;VERSION_SOURCE","VERSION_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-003","MS-T8-RESP-001","AUTHORITY_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-001;AUTHORITY_SOURCE","AUTHORITY_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-004","MS-T8-RESP-001","DEPENDENCY_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-001;DEPENDENCY_SOURCE","DEPENDENCY_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-005","MS-T8-RESP-001","PROVENANCE_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-001;PROVENANCE_SOURCE","PROVENANCE_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-006","MS-T8-RESP-001","EVIDENCE_BOUNDARY","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-001;EVIDENCE_BOUNDARY","EVIDENCE_BOUNDARY was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-007","MS-T8-RESP-001","UNCERTAINTY_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-001;UNCERTAINTY_SOURCE","UNCERTAINTY_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-008","MS-T8-RESP-001","APPLICATION_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-001;APPLICATION_SOURCE","APPLICATION_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-009","MS-T8-RESP-001","EXCLUSION_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-001;EXCLUSION_SOURCE","EXCLUSION_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-010","MS-T8-RESP-001","RESULT_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-001;RESULT_SOURCE","RESULT_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-011","MS-T8-RESP-002","CANONICAL_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-002;CANONICAL_SOURCE","CANONICAL_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-012","MS-T8-RESP-002","VERSION_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-002;VERSION_SOURCE","VERSION_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-013","MS-T8-RESP-002","AUTHORITY_SOURCE","AS-001","UNRESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-002;AUTHORITY_SOURCE","AUTHORITY_SOURCE lacked the required evidentiary link and was preserved as unresolved.","NOT_REQUIRED","UNRESOLVED"
"MS-T8-ASM-014","MS-T8-RESP-002","DEPENDENCY_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-002;DEPENDENCY_SOURCE","DEPENDENCY_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-015","MS-T8-RESP-002","PROVENANCE_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-002;PROVENANCE_SOURCE","PROVENANCE_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-016","MS-T8-RESP-002","EVIDENCE_BOUNDARY","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-002;EVIDENCE_BOUNDARY","EVIDENCE_BOUNDARY was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
"MS-T8-ASM-017","MS-T8-RESP-002","UNCERTAINTY_SOURCE","AS-001","RESOLVED","","MATERIAL","NON_COMPENSABLE","MS-T8-CHAIN-002;UNCERTAINTY_SOURCE","UNCERTAINTY_SOURCE was recovered through an explicit traceability link.","NOT_REQUIRED","RESOLVED"
