"AssessmentID","ResponseID","PropertyClass","AssessorID","AssessmentResult","Materiality","Compensability","EvidenceReference","Rationale","TransitionDisposition","AdjudicationStatus","FinalResult"
"MS-T9-ASSESS-001","MS-T9-RESP-001-A","IDENTITY","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-001-A|TRANSITION_VALID","The IDENTITY property was classified as PRESERVED under the A transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-002","MS-T9-RESP-001-A","SOURCE","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-001-A|TRANSITION_VALID","The SOURCE property was classified as PRESERVED under the A transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-003","MS-T9-RESP-001-A","VERSION","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-001-A|TRANSITION_VALID","The VERSION property was classified as PRESERVED under the A transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-004","MS-T9-RESP-001-A","AUTHORITY","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-001-A|TRANSITION_VALID","The AUTHORITY property was classified as PRESERVED under the A transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-005","MS-T9-RESP-001-A","SCOPE","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-001-A|TRANSITION_VALID","The SCOPE property was classified as PRESERVED under the A transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-006","MS-T9-RESP-001-A","DEPENDENCY","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-001-A|TRANSITION_VALID","The DEPENDENCY property was classified as PRESERVED under the A transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-007","MS-T9-RESP-001-A","UNCERTAINTY","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-001-A|TRANSITION_VALID","The UNCERTAINTY property was classified as PRESERVED under the A transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-008","MS-T9-RESP-001-A","OBLIGATION","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-001-A|TRANSITION_VALID","The OBLIGATION property was classified as PRESERVED under the A transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-009","MS-T9-RESP-001-A","HISTORY","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-001-A|TRANSITION_VALID","The HISTORY property was classified as PRESERVED under the A transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-010","MS-T9-RESP-001-A","EFFECTIVE_TIME","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-001-A|TRANSITION_VALID","The EFFECTIVE_TIME property was classified as PRESERVED under the A transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-011","MS-T9-RESP-001-A","ACCEPTANCE","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-001-A|TRANSITION_VALID","The ACCEPTANCE property was classified as PRESERVED under the A transition condition.","TRANSITION_VALID","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-012","MS-T9-RESP-001-B","IDENTITY","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-001-B|TRANSITION_PARTIAL","The IDENTITY property was classified as PRESERVED under the B transition condition.","TRANSITION_PARTIAL","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-013","MS-T9-RESP-001-B","SOURCE","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-001-B|TRANSITION_PARTIAL","The SOURCE property was classified as PRESERVED under the B transition condition.","TRANSITION_PARTIAL","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-014","MS-T9-RESP-001-B","VERSION","MS-T9-ASSESSOR-001","PRESERVED","MATERIAL","NOT_REQUIRED","MS-T9-RESP-001-B|TRANSITION_PARTIAL","The VERSION property was classified as PRESERVED under the B transition condition.","TRANSITION_PARTIAL","NOT_REQUIRED","SATISFIED"
"MS-T9-ASSESS-015","MS-T9-RESP-001-B","AUTHORITY","MS-T9-ASSESSOR-001","PARTIAL","MATERIAL","COMPENSABLE_WITH_RECONSTRUCTION","MS-T9-RESP-001-B|TRANSITION_PARTIAL","The AUTHORITY property was classified as PARTIAL under the B transition condition.","TRANSITION_PARTIAL","FINALIZED","PARTIALLY_SATISFIED"
"MS-T9-ASSESS-016","MS-T9-RESP-001-B","SCOPE","MS-T9-ASSESSOR-001","PARTIAL","MATERIAL","COMPENSABLE_WITH_RECONSTRUCTION","MS-T9-RESP-001-B|TRANSITION_PARTIAL","The SCOPE property was classified as PARTIAL under the B transition condition.","TRANSITION_PARTIAL","FINALIZED","PARTIALLY_SATISFIED"
"MS-T9-ASSESS-017","MS-T9-RESP-001-B","DEPENDENCY","MS-T9-ASSESSOR-001","PARTIAL","MATERIAL","COMPENSABLE_WITH_RECONSTRUCTION","MS-T9-RESP-001-B|TRANSITION_PARTIAL","The DEPENDENCY property was classified as PARTIAL under the B transition condition.","TRANSITION_PARTIAL","FINALIZED","PARTIALLY_SATISFIED"
"MS-T9-ASSESS-018","MS-T9-RESP-001-B","UNCERTAINTY","MS-T9-ASSESSOR-001","MISSING","MATERIAL","NON_COMPENSABLE_WITHOUT_AUTHORITY_RECONSTRUCTION","MS-T9-RESP-001-B|TRANSITION_PARTIAL","The UNCERTAINTY property was classified as MISSING under the B transition condition.","TRANSITION_PARTIAL","FINALIZED","NOT_SATISFIED"
"MS-T9-ASSESS-019","MS-T9-RESP-001-B","OBLIGATION","MS-T9-ASSESSOR-001","PARTIAL","MATERIAL","COMPENSABLE_WITH_RECONSTRUCTION","MS-T9-RESP-001-B|TRANSITION_PARTIAL","The OBLIGATION property was classified as PARTIAL under the B transition condition.","TRANSITION_PARTIAL","FINALIZED","PARTIALLY_SATISFIED"
"MS-T9-ASSESS-020","MS-T9-RESP-001-B","HISTORY","MS-T9-ASSESSOR-001","PARTIAL","MATERIAL","COMPENSABLE_WITH_RECONSTRUCTION","MS-T9-RESP-001-B|TRANSITION_PARTIAL","The HISTORY property was classified as PARTIAL under the B transition condition.","TRANSITION_PARTIAL","FINALIZED","PARTIALLY_SATISFIED"
