"TheoremID","FileName","CollectionClass","Sequence","FieldName","IdentityField","EntryAuthority","Instruction","Required"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","1","ResponseID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","2","ObserverID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","3","CaseID","True","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","4","EntryCondition","False","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","True"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","5","ObserverClass","False","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","True"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","6","PriorExposure","False","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","True"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","7","SubmittedAt","False","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","True"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","8","ResponseText","False","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","True"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","9","SourceReferences","False","OBSERVED_EXECUTION_ONLY","Provide a traceable reference to the supporting controlled source or observation.","True"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","10","DeclaredUncertainty","False","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","True"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","11","ResponseStatus","False","OBSERVED_EXECUTION_ONLY","Use only an authorized value defined by the trial procedure or data dictionary.","True"
