"TheoremID","FileName","CollectionClass","Sequence","FieldName","IdentityField","EntryAuthority","Instruction","Required"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","DOWNSTREAM_ASSESSMENT","1","AssessmentID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","DOWNSTREAM_ASSESSMENT","2","CaseID","True","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","DOWNSTREAM_ASSESSMENT","3","ObjectID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","DOWNSTREAM_ASSESSMENT","4","PropertyClass","False","GOVERNED_ASSESSOR_JUDGMENT","Assess the downstream effect against the declared dependency and propagation criteria.","True"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","DOWNSTREAM_ASSESSMENT","5","AssessorID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","DOWNSTREAM_ASSESSMENT","6","AssessmentResult","False","GOVERNED_ASSESSOR_JUDGMENT","Use only an authorized value defined by the trial procedure or data dictionary.","True"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","DOWNSTREAM_ASSESSMENT","7","Materiality","False","GOVERNED_ASSESSOR_JUDGMENT","Assess the downstream effect against the declared dependency and propagation criteria.","True"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","DOWNSTREAM_ASSESSMENT","8","Compensability","False","GOVERNED_ASSESSOR_JUDGMENT","Assess the downstream effect against the declared dependency and propagation criteria.","True"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","DOWNSTREAM_ASSESSMENT","9","EvidenceReference","False","GOVERNED_ASSESSOR_JUDGMENT","Provide a traceable reference to the supporting controlled source or observation.","True"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","DOWNSTREAM_ASSESSMENT","10","Rationale","False","GOVERNED_ASSESSOR_JUDGMENT","State the evidence-based rationale. Preserve uncertainty and contradictory observations.","True"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","DOWNSTREAM_ASSESSMENT","11","FinalResult","False","GOVERNED_ASSESSOR_JUDGMENT","Use only an authorized value defined by the trial procedure or data dictionary.","True"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","DOWNSTREAM_ASSESSMENT","12","AdjudicationStatus","False","GOVERNED_ASSESSOR_JUDGMENT","Use only an authorized value defined by the trial procedure or data dictionary.","True"
