"TheoremID","FileName","CollectionClass","Sequence","FieldName","IdentityField","EntryAuthority","Instruction","Required"
"MS-T2","PROPAGATION_EVENTS.csv","DIRECT_OBSERVATION","1","EventID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T2","PROPAGATION_EVENTS.csv","DIRECT_OBSERVATION","2","CaseID","True","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T2","PROPAGATION_EVENTS.csv","DIRECT_OBSERVATION","3","SourceObjectID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T2","PROPAGATION_EVENTS.csv","DIRECT_OBSERVATION","4","TargetObjectID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T2","PROPAGATION_EVENTS.csv","DIRECT_OBSERVATION","5","DependencyEdgeID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T2","PROPAGATION_EVENTS.csv","DIRECT_OBSERVATION","6","PropertyClass","False","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","True"
"MS-T2","PROPAGATION_EVENTS.csv","DIRECT_OBSERVATION","7","PropagationLevel","False","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","True"
"MS-T2","PROPAGATION_EVENTS.csv","DIRECT_OBSERVATION","8","EventClass","False","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","True"
"MS-T2","PROPAGATION_EVENTS.csv","DIRECT_OBSERVATION","9","EvidenceReference","False","OBSERVED_EXECUTION_ONLY","Provide a traceable reference to the supporting controlled source or observation.","True"
"MS-T2","PROPAGATION_EVENTS.csv","DIRECT_OBSERVATION","10","DetectedAt","False","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","True"
"MS-T2","PROPAGATION_EVENTS.csv","DIRECT_OBSERVATION","11","DetectionMethod","False","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","True"
"MS-T2","PROPAGATION_EVENTS.csv","DIRECT_OBSERVATION","12","EventStatus","False","OBSERVED_EXECUTION_ONLY","Use only an authorized value defined by the trial procedure or data dictionary.","True"
