"TheoremID","FileName","CsvRow","RecordIdentity","MissingField","EntryAuthority","Instruction","CompletionStatus"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","EventID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","CaseID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","SourceObjectID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","TargetObjectID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","DependencyEdgeID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","PropertyClass","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","PropagationLevel","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","EventClass","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","EvidenceReference","OBSERVED_EXECUTION_ONLY","Provide a traceable reference to the supporting controlled source or observation.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","DetectedAt","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","DetectionMethod","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","NOT_ENTERED"
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","EventStatus","OBSERVED_EXECUTION_ONLY","Use only an authorized value defined by the trial procedure or data dictionary.","NOT_ENTERED"
