"TheoremID","FileName","CollectionClass","Sequence","FieldName","IdentityField","EntryAuthority","Instruction","Required"
"MS-T2","TRIAL_CASES.csv","CASE_DEFINITION","1","CaseID","True","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T2","TRIAL_CASES.csv","CASE_DEFINITION","2","ChainID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T2","TRIAL_CASES.csv","CASE_DEFINITION","3","Condition","False","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","True"
"MS-T2","TRIAL_CASES.csv","CASE_DEFINITION","4","SeedObjectID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T2","TRIAL_CASES.csv","CASE_DEFINITION","5","DivergenceClass","False","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","True"
"MS-T2","TRIAL_CASES.csv","CASE_DEFINITION","6","OriginalValue","False","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","True"
"MS-T2","TRIAL_CASES.csv","CASE_DEFINITION","7","SeededValue","False","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","True"
"MS-T2","TRIAL_CASES.csv","CASE_DEFINITION","8","SeedPropertyClass","False","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","True"
"MS-T2","TRIAL_CASES.csv","CASE_DEFINITION","9","CorrectionEnabled","False","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","True"
"MS-T2","TRIAL_CASES.csv","CASE_DEFINITION","10","CaseStatus","False","GOVERNED_CASE_DESIGN","Use only an authorized value defined by the trial procedure or data dictionary.","True"
