"TheoremID","FileName","CsvRow","RecordIdentity","MissingField","EntryAuthority","Instruction","CompletionStatus"
"MS-T2","TRIAL_CASES.csv","2","MS-T2-CASE-001-A","SeedObjectID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T2","TRIAL_CASES.csv","2","MS-T2-CASE-001-A","OriginalValue","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
"MS-T2","TRIAL_CASES.csv","2","MS-T2-CASE-001-A","SeededValue","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
"MS-T2","TRIAL_CASES.csv","2","MS-T2-CASE-001-A","SeedPropertyClass","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
"MS-T2","TRIAL_CASES.csv","2","MS-T2-CASE-001-A","CorrectionEnabled","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
"MS-T2","TRIAL_CASES.csv","3","MS-T2-CASE-001-B","SeedObjectID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T2","TRIAL_CASES.csv","3","MS-T2-CASE-001-B","DivergenceClass","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
"MS-T2","TRIAL_CASES.csv","3","MS-T2-CASE-001-B","OriginalValue","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
"MS-T2","TRIAL_CASES.csv","3","MS-T2-CASE-001-B","SeededValue","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
"MS-T2","TRIAL_CASES.csv","3","MS-T2-CASE-001-B","SeedPropertyClass","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
"MS-T2","TRIAL_CASES.csv","3","MS-T2-CASE-001-B","CorrectionEnabled","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","NOT_ENTERED"
