"TransactionID","TheoremID","SourceFile","CsvRow","RecordIdentity","EntryAuthority","FieldName","ProposedValue","TransactionStatus","ValidationStatus","SynchronizationStatus"
"BATCH-A-TXN-426E0A69D1B3F79A","MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","CaseID","MS-T1-CASE-184EB6F19FF5","PROPOSED","NOT_RUN","NOT_SYNCHRONIZED"
"BATCH-A-TXN-D6CC2FFA3F51B2C9","MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","ObserverID","MS-T1-OBS-456274BE83B3","PROPOSED","NOT_RUN","NOT_SYNCHRONIZED"
"BATCH-A-TXN-063133969507C7FC","MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","ResponseID","MS-T1-RESP-61AF7F7C6013","PROPOSED","NOT_RUN","NOT_SYNCHRONIZED"
"BATCH-A-TXN-30BA15020248E9B6","MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","AssessmentID","MS-T1-ASSESS-BC15039C132A","PROPOSED","NOT_RUN","NOT_SYNCHRONIZED"
"BATCH-A-TXN-6F6ABDA213157170","MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","AssessorID","MS-T1-ASSR-192B4076E609","PROPOSED","NOT_RUN","NOT_SYNCHRONIZED"
"BATCH-A-TXN-96DDB2A4685FDE9F","MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","PropertyID","MS-T1-PROP-956D0CDBA8F9","PROPOSED","NOT_RUN","NOT_SYNCHRONIZED"
"BATCH-A-TXN-37992E18AAC05041","MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","ResponseID","MS-T1-RESP-014CEC3991DC","PROPOSED","NOT_RUN","NOT_SYNCHRONIZED"
"BATCH-A-TXN-324F65A746BDCD34","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GOVERNED_CASE_DESIGN","AuthoritySource","","PROPOSED","INDETERMINATE","NOT_SYNCHRONIZED"
"BATCH-A-TXN-367AA7E2A9D60060","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GOVERNED_CASE_DESIGN","CanonicalSource","","PROPOSED","INDETERMINATE","NOT_SYNCHRONIZED"
"BATCH-A-TXN-41A99F3CC337EE98","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GOVERNED_CASE_DESIGN","DependencyIDs","","PROPOSED","INDETERMINATE","NOT_SYNCHRONIZED"
"BATCH-A-TXN-064C9931649C8E28","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","CONTROLLED_ID_ASSIGNMENT","FrameworkID","MS-T1-FRAME-E2E1F47E3AC7","PROPOSED","NOT_RUN","NOT_SYNCHRONIZED"
"BATCH-A-TXN-2B7FC3F94DB10D9F","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","CONTROLLED_ID_ASSIGNMENT","GovernedObjectID","MS-T1-GOBJ-60ECF385A2AA","PROPOSED","NOT_RUN","NOT_SYNCHRONIZED"
"BATCH-A-TXN-583F93133B7E5081","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GOVERNED_CASE_DESIGN","GoverningVersion","","PROPOSED","INDETERMINATE","NOT_SYNCHRONIZED"
"BATCH-A-TXN-60B3AB525B48DAF6","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GOVERNED_CASE_DESIGN","MaterialPropertyCount","","PROPOSED","INDETERMINATE","NOT_SYNCHRONIZED"
"BATCH-A-TXN-C16442CFDE2AAD64","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GOVERNED_CASE_DESIGN","UncertaintyState","","PROPOSED","INDETERMINATE","NOT_SYNCHRONIZED"
"BATCH-A-TXN-A88BF93710FD752E","MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","GOVERNED_DEPENDENCY_DESIGN","CanonicalSource","","PROPOSED","INDETERMINATE","NOT_SYNCHRONIZED"
"BATCH-A-TXN-6B38111223233C15","MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","GOVERNED_DEPENDENCY_DESIGN","ChainName","","PROPOSED","INDETERMINATE","NOT_SYNCHRONIZED"
"BATCH-A-TXN-6433A03DB1524DAF","MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","GOVERNED_DEPENDENCY_DESIGN","CorrectionAvailability","","PROPOSED","INDETERMINATE","NOT_SYNCHRONIZED"
"BATCH-A-TXN-AAD8359D31B70D92","MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","GOVERNED_DEPENDENCY_DESIGN","DependencyDepth","","PROPOSED","INDETERMINATE","NOT_SYNCHRONIZED"
"BATCH-A-TXN-E735DEA2E43B4106","MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","GOVERNED_DEPENDENCY_DESIGN","GoverningVersion","","PROPOSED","INDETERMINATE","NOT_SYNCHRONIZED"
"BATCH-A-TXN-5FB830632CC9D902","MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","CONTROLLED_ID_ASSIGNMENT","RootObjectID","MS-T2-ROOT-A225C819F539","PROPOSED","NOT_RUN","NOT_SYNCHRONIZED"
"BATCH-A-TXN-FAEECD281B201B10","MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","CONTROLLED_ID_ASSIGNMENT","TerminalObjectID","MS-T2-TERMINAL-5AA79FE63A95","PROPOSED","NOT_RUN","NOT_SYNCHRONIZED"
"BATCH-A-TXN-279D3A07943C307C","MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","AssessmentID","MS-T2-ASSESS-BDF663A086A2","PROPOSED","NOT_RUN","NOT_SYNCHRONIZED"
"BATCH-A-TXN-57E5D219A51E5C5B","MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","AssessorID","MS-T2-ASSR-EBDB3CFA3C9D","PROPOSED","NOT_RUN","NOT_SYNCHRONIZED"
"BATCH-A-TXN-A7315BBB3AF20166","MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","CaseID","MS-T2-CASE-4952BF41CB1F","PROPOSED","NOT_RUN","NOT_SYNCHRONIZED"
"BATCH-A-TXN-9E5171F7CDCC79EF","MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","ObjectID","MS-T2-OBJ-B645708C03C4","PROPOSED","NOT_RUN","NOT_SYNCHRONIZED"
"BATCH-A-TXN-18CDCA3BFC243E9F","MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","CaseID","MS-T2-CASE-7E8441865168","PROPOSED","NOT_RUN","NOT_SYNCHRONIZED"
"BATCH-A-TXN-815279EFB2BC7C5A","MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","DependencyEdgeID","MS-T2-EDGE-6AD7951D3A0D","PROPOSED","NOT_RUN","NOT_SYNCHRONIZED"
"BATCH-A-TXN-57D0B5B63F61F644","MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","EventID","MS-T2-EVENT-F7F1C3AF3D06","PROPOSED","NOT_RUN","NOT_SYNCHRONIZED"
"BATCH-A-TXN-F9866AB04A6F7D6B","MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","SourceObjectID","MS-T2-SOURCE-A5AF13FA503B","PROPOSED","NOT_RUN","NOT_SYNCHRONIZED"
"BATCH-A-TXN-5208A347A591963B","MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","CONTROLLED_ID_ASSIGNMENT","TargetObjectID","MS-T2-TARGET-AC3A22C40CC5","PROPOSED","NOT_RUN","NOT_SYNCHRONIZED"
"BATCH-A-TXN-89494DBCB8913A39","MS-T2","TRIAL_CASES.csv","2","MS-T2-CASE-001-A","GOVERNED_CASE_DESIGN","CorrectionEnabled","","PROPOSED","INDETERMINATE","NOT_SYNCHRONIZED"
"BATCH-A-TXN-B2DE4EB0D5FFDF69","MS-T2","TRIAL_CASES.csv","2","MS-T2-CASE-001-A","GOVERNED_CASE_DESIGN","OriginalValue","","PROPOSED","INDETERMINATE","NOT_SYNCHRONIZED"
