"FullName","RelativePath","Name","Extension","LengthBytes","LastWriteTime","IsProtected","SHA256"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\BATCH_A_TRANSACTION_GOVERNANCE.md","BATCH_A_TRANSACTION_GOVERNANCE.md","BATCH_A_TRANSACTION_GOVERNANCE.md",".md","1495","2026-07-23T18:23:28.3071595-05:00","False","4A082417F6D12CC52A945DE6D01883888FF78ACBF713B311803A8ABD82375BF4"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Backups\20260723_183128\volumes\VOLUME_I_FOUNDATION\verification\readiness\MS-T1_T2_PREEXECUTION_COMPLETION\PREEXECUTION_COMPLETION_WORKLIST.csv","Backups\20260723_183128\volumes\VOLUME_I_FOUNDATION\verification\readiness\MS-T1_T2_PREEXECUTION_COMPLETION\PREEXECUTION_COMPLETION_WORKLIST.csv","PREEXECUTION_COMPLETION_WORKLIST.csv",".csv","8944","2026-07-23T17:44:24.5085768-05:00","False","8E0835782EFCC4226420374D793A95811289A0C3E2EB1ADD7F73BDFB99B485FF"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Engine\Invoke-BatchAStage3ProposalEngine.ps1","Engine\Invoke-BatchAStage3ProposalEngine.ps1","Invoke-BatchAStage3ProposalEngine.ps1",".ps1","12487","2026-07-23T18:53:47.7286835-05:00","False","0FFD39F8DE0541B8CCD925D0EC0505EB7C2CB9B13A7CBB19F10EFEDBEB642250"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Reports\BATCH_A_FINAL_VERIFICATION.json","Reports\BATCH_A_FINAL_VERIFICATION.json","BATCH_A_FINAL_VERIFICATION.json",".json","2429","2026-07-23T18:31:33.5823293-05:00","False","600CDB259F19AAE985F37CDBD8876D05CCD0F3F953A55E65E1DFB887AB77EAA9"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Reports\BATCH_A_PROPOSAL_REPORT.csv","Reports\BATCH_A_PROPOSAL_REPORT.csv","BATCH_A_PROPOSAL_REPORT.csv",".csv","7934","2026-07-23T18:53:48.8739792-05:00","False","121E86A2000A9469B90AFB301384E63BB4659695AC40C21D2D946A730462E25C"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Reports\BATCH_A_STAGE_0_VERIFICATION.json","Reports\BATCH_A_STAGE_0_VERIFICATION.json","BATCH_A_STAGE_0_VERIFICATION.json",".json","2736","2026-07-23T18:23:28.5730162-05:00","False","E5D3DA1C1417F0A614B553B80502DE6EE158B4C48D465EA288FBAE34A352E0E1"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Reports\BATCH_A_STAGE_3_STATUS.json","Reports\BATCH_A_STAGE_3_STATUS.json","BATCH_A_STAGE_3_STATUS.json",".json","686","2026-07-23T18:53:48.9387968-05:00","False","B44374BD6A4B01CF4DF05257610FBCCA9EA6C9D64EAF76C8AF206B61387F76BE"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Reports\BATCH_A_STATUS_LATEST.json","Reports\BATCH_A_STATUS_LATEST.json","BATCH_A_STATUS_LATEST.json",".json","2429","2026-07-23T18:31:33.6119466-05:00","False","600CDB259F19AAE985F37CDBD8876D05CCD0F3F953A55E65E1DFB887AB77EAA9"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Reports\BATCH_A_UNRESOLVED_WORK_ITEMS.csv","Reports\BATCH_A_UNRESOLVED_WORK_ITEMS.csv","BATCH_A_UNRESOLVED_WORK_ITEMS.csv",".csv","6715","2026-07-23T18:53:48.8363097-05:00","False","D520440BED2C9A8229F0F8C926509DA59D3C129CED47F28190CD23245A62D785"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Repository_Cleanup\Plans\MS-CLEANUP-20260724_171604_GOVERNED_CLEANUP_PLAN.csv","Repository_Cleanup\Plans\MS-CLEANUP-20260724_171604_GOVERNED_CLEANUP_PLAN.csv","MS-CLEANUP-20260724_171604_GOVERNED_CLEANUP_PLAN.csv",".csv","35437","2026-07-24T17:16:05.0523466-05:00","False","77B377ACE317A94D37D0357F86E943BF727F166270AFC82AC10EBC2BE17BAB8E"
