"FullName","RelativePath","Name","Extension","LengthBytes","LastWriteTime","IsProtected","SHA256"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\BATCH_A_TRANSACTION_GOVERNANCE.md","BATCH_A_TRANSACTION_GOVERNANCE.md","BATCH_A_TRANSACTION_GOVERNANCE.md",".md","1495","2026-07-23T18:23:28.3071595-05:00","False","4A082417F6D12CC52A945DE6D01883888FF78ACBF713B311803A8ABD82375BF4"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Backups\20260723_183128\volumes\VOLUME_I_FOUNDATION\verification\readiness\MS-T1_T2_PREEXECUTION_COMPLETION\PREEXECUTION_COMPLETION_WORKLIST.csv","Backups\20260723_183128\volumes\VOLUME_I_FOUNDATION\verification\readiness\MS-T1_T2_PREEXECUTION_COMPLETION\PREEXECUTION_COMPLETION_WORKLIST.csv","PREEXECUTION_COMPLETION_WORKLIST.csv",".csv","8944","2026-07-23T17:44:24.5085768-05:00","False","8E0835782EFCC4226420374D793A95811289A0C3E2EB1ADD7F73BDFB99B485FF"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Engine\Invoke-BatchAStage3ProposalEngine.ps1","Engine\Invoke-BatchAStage3ProposalEngine.ps1","Invoke-BatchAStage3ProposalEngine.ps1",".ps1","12487","2026-07-23T18:53:47.7286835-05:00","False","0FFD39F8DE0541B8CCD925D0EC0505EB7C2CB9B13A7CBB19F10EFEDBEB642250"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Engine\Invoke-BatchAStage3ProposalEngine.ps1.before-count-repair-20260723_184959.bak","Engine\Invoke-BatchAStage3ProposalEngine.ps1.before-count-repair-20260723_184959.bak","Invoke-BatchAStage3ProposalEngine.ps1.before-count-repair-20260723_184959.bak",".bak","11909","2026-07-23T18:46:33.8988935-05:00","False","11E2EF85C3BF0B9C3EACDDCCA51CF4EC1B9AD4B27AF7CF82B58FBF32C5DF7383"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Engine\Invoke-BatchAStage3ProposalEngine.ps1.before-sha256-line-repair-20260723_185347.bak","Engine\Invoke-BatchAStage3ProposalEngine.ps1.before-sha256-line-repair-20260723_185347.bak","Invoke-BatchAStage3ProposalEngine.ps1.before-sha256-line-repair-20260723_185347.bak",".bak","11962","2026-07-23T18:52:00.4464972-05:00","False","998826CA67A536DBE9C311E94A96D14F1248C92B19A7FDC3A0D42A05F8C815BC"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Engine\Invoke-BatchAStage3ProposalEngine.ps1.before-sha256-repair-20260723_185200.bak","Engine\Invoke-BatchAStage3ProposalEngine.ps1.before-sha256-repair-20260723_185200.bak","Invoke-BatchAStage3ProposalEngine.ps1.before-sha256-repair-20260723_185200.bak",".bak","11960","2026-07-23T18:49:59.9817789-05:00","False","9D520C5691C45AAD2F2861169EAEF074414DB1756CC32548B54B962A790E9C0E"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Reports\BATCH_A_FINAL_VERIFICATION.json","Reports\BATCH_A_FINAL_VERIFICATION.json","BATCH_A_FINAL_VERIFICATION.json",".json","2429","2026-07-23T18:31:33.5823293-05:00","False","600CDB259F19AAE985F37CDBD8876D05CCD0F3F953A55E65E1DFB887AB77EAA9"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Reports\BATCH_A_PROPOSAL_REPORT.csv","Reports\BATCH_A_PROPOSAL_REPORT.csv","BATCH_A_PROPOSAL_REPORT.csv",".csv","7934","2026-07-23T18:53:48.8739792-05:00","False","121E86A2000A9469B90AFB301384E63BB4659695AC40C21D2D946A730462E25C"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Reports\BATCH_A_STAGE_0_VERIFICATION.json","Reports\BATCH_A_STAGE_0_VERIFICATION.json","BATCH_A_STAGE_0_VERIFICATION.json",".json","2736","2026-07-23T18:23:28.5730162-05:00","False","E5D3DA1C1417F0A614B553B80502DE6EE158B4C48D465EA288FBAE34A352E0E1"
"C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\readiness\BATCH_EXECUTION\BATCH_A\Reports\BATCH_A_STAGE_3_STATUS.json","Reports\BATCH_A_STAGE_3_STATUS.json","BATCH_A_STAGE_3_STATUS.json",".json","686","2026-07-23T18:53:48.9387968-05:00","False","B44374BD6A4B01CF4DF05257610FBCCA9EA6C9D64EAF76C8AF206B61387F76BE"
