"TransactionID","SourceFile","CsvRow","RecordIdentity","FieldName","ProposedValue","MatchCount","ResolutionStatus","ResolvedPath","MatchingPaths"
"BATCH-A-TXN-426E0A69D1B3F79A","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","CaseID","MS-T1-CASE-184EB6F19FF5","4","MULTIPLE_SOURCE_MATCHES","","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T1_CONTROLLED_EXECUTION\02_EVIDENCE\OBSERVER_RESPONSES.csv | C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T1_GOVERNED_INITIATION_TRIAL\OBSERVER_RESPONSES.csv | C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T6_UNCERTAINTY_NON_ERASURE_TRIAL\OBSERVER_RESPONSES.csv | C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T7_SCOPE_NON_EXPANSION_TRIAL\OBSERVER_RESPONSES.csv"
"BATCH-A-TXN-D6CC2FFA3F51B2C9","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","ObserverID","MS-T1-OBS-456274BE83B3","4","MULTIPLE_SOURCE_MATCHES","","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T1_CONTROLLED_EXECUTION\02_EVIDENCE\OBSERVER_RESPONSES.csv | C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T1_GOVERNED_INITIATION_TRIAL\OBSERVER_RESPONSES.csv | C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T6_UNCERTAINTY_NON_ERASURE_TRIAL\OBSERVER_RESPONSES.csv | C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T7_SCOPE_NON_EXPANSION_TRIAL\OBSERVER_RESPONSES.csv"
"BATCH-A-TXN-063133969507C7FC","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","ResponseID","MS-T1-RESP-61AF7F7C6013","4","MULTIPLE_SOURCE_MATCHES","","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T1_CONTROLLED_EXECUTION\02_EVIDENCE\OBSERVER_RESPONSES.csv | C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T1_GOVERNED_INITIATION_TRIAL\OBSERVER_RESPONSES.csv | C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T6_UNCERTAINTY_NON_ERASURE_TRIAL\OBSERVER_RESPONSES.csv | C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T7_SCOPE_NON_EXPANSION_TRIAL\OBSERVER_RESPONSES.csv"
"BATCH-A-TXN-30BA15020248E9B6","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AssessmentID","MS-T1-ASSESS-BC15039C132A","2","MULTIPLE_SOURCE_MATCHES","","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T1_CONTROLLED_EXECUTION\03_ASSESSMENT\SEMANTIC_ASSESSMENTS.csv | C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T1_GOVERNED_INITIATION_TRIAL\SEMANTIC_ASSESSMENTS.csv"
"BATCH-A-TXN-6F6ABDA213157170","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AssessorID","MS-T1-ASSR-192B4076E609","2","MULTIPLE_SOURCE_MATCHES","","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T1_CONTROLLED_EXECUTION\03_ASSESSMENT\SEMANTIC_ASSESSMENTS.csv | C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T1_GOVERNED_INITIATION_TRIAL\SEMANTIC_ASSESSMENTS.csv"
"BATCH-A-TXN-96DDB2A4685FDE9F","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","PropertyID","MS-T1-PROP-956D0CDBA8F9","2","MULTIPLE_SOURCE_MATCHES","","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T1_CONTROLLED_EXECUTION\03_ASSESSMENT\SEMANTIC_ASSESSMENTS.csv | C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T1_GOVERNED_INITIATION_TRIAL\SEMANTIC_ASSESSMENTS.csv"
"BATCH-A-TXN-37992E18AAC05041","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","ResponseID","MS-T1-RESP-014CEC3991DC","2","MULTIPLE_SOURCE_MATCHES","","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T1_CONTROLLED_EXECUTION\03_ASSESSMENT\SEMANTIC_ASSESSMENTS.csv | C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T1_GOVERNED_INITIATION_TRIAL\SEMANTIC_ASSESSMENTS.csv"
"BATCH-A-TXN-064C9931649C8E28","TRIAL_CASES.csv","2","MS-T1-CASE-001","FrameworkID","MS-T1-FRAME-E2E1F47E3AC7","4","MULTIPLE_SOURCE_MATCHES","","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T1_CONTROLLED_EXECUTION\01_INPUT\TRIAL_CASES.csv | C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T2_CONTROLLED_EXECUTION\01_INPUT\TRIAL_CASES.csv | C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T1_GOVERNED_INITIATION_TRIAL\TRIAL_CASES.csv | C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T2_DEPENDENCY_PROPAGATION_TRIAL\TRIAL_CASES.csv"
"BATCH-A-TXN-2B7FC3F94DB10D9F","TRIAL_CASES.csv","2","MS-T1-CASE-001","GovernedObjectID","MS-T1-GOBJ-60ECF385A2AA","4","MULTIPLE_SOURCE_MATCHES","","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T1_CONTROLLED_EXECUTION\01_INPUT\TRIAL_CASES.csv | C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T2_CONTROLLED_EXECUTION\01_INPUT\TRIAL_CASES.csv | C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T1_GOVERNED_INITIATION_TRIAL\TRIAL_CASES.csv | C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T2_DEPENDENCY_PROPAGATION_TRIAL\TRIAL_CASES.csv"
"BATCH-A-TXN-5FB830632CC9D902","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","RootObjectID","MS-T2-ROOT-A225C819F539","2","MULTIPLE_SOURCE_MATCHES","","C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\execution\MS-T2_CONTROLLED_EXECUTION\01_INPUT\DEPENDENCY_CHAINS.csv | C:\Users\18177\morning-star\volumes\VOLUME_I_FOUNDATION\verification\MS-T2_DEPENDENCY_PROPAGATION_TRIAL\DEPENDENCY_CHAINS.csv"
