"TransactionID","WorkItemID","SourceFile","ResolutionClass","Stage5ConstitutionalStatus","Stage5SynchronizationEligibility","Stage5Disposition","GovernanceDisposition","GovernanceDecisionStatus","CanonicalAdmissionAuthorized","SynchronizationAuthorized","RequiredGovernanceAction","DispositionRationale","Stage6Status","RecordedAt"
"BATCH-A-TXN-063133969507C7FC","MS-S6-WORK-063133969507C7FC","OBSERVER_RESPONSES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5397585-05:00"
"BATCH-A-TXN-064C9931649C8E28","MS-S6-WORK-064C9931649C8E28","TRIAL_CASES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5397585-05:00"
"BATCH-A-TXN-18CDCA3BFC243E9F","MS-S6-WORK-18CDCA3BFC243E9F","PROPAGATION_EVENTS.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5415125-05:00"
"BATCH-A-TXN-1F943F24CB489568","MS-S6-WORK-1F943F24CB489568","TRIAL_CASES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5415125-05:00"
"BATCH-A-TXN-279D3A07943C307C","MS-S6-WORK-279D3A07943C307C","DOWNSTREAM_ASSESSMENTS.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5415125-05:00"
"BATCH-A-TXN-2B7FC3F94DB10D9F","MS-S6-WORK-2B7FC3F94DB10D9F","TRIAL_CASES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5415125-05:00"
"BATCH-A-TXN-30BA15020248E9B6","MS-S6-WORK-30BA15020248E9B6","SEMANTIC_ASSESSMENTS.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5415125-05:00"
"BATCH-A-TXN-324F65A746BDCD34","MS-S6-WORK-324F65A746BDCD34","TRIAL_CASES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5415125-05:00"
"BATCH-A-TXN-367AA7E2A9D60060","MS-S6-WORK-367AA7E2A9D60060","TRIAL_CASES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5415125-05:00"
"BATCH-A-TXN-37992E18AAC05041","MS-S6-WORK-37992E18AAC05041","SEMANTIC_ASSESSMENTS.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5415125-05:00"
"BATCH-A-TXN-41A99F3CC337EE98","MS-S6-WORK-41A99F3CC337EE98","TRIAL_CASES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5435219-05:00"
"BATCH-A-TXN-426E0A69D1B3F79A","MS-S6-WORK-426E0A69D1B3F79A","OBSERVER_RESPONSES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5435219-05:00"
"BATCH-A-TXN-5208A347A591963B","MS-S6-WORK-5208A347A591963B","PROPAGATION_EVENTS.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5435219-05:00"
"BATCH-A-TXN-57D0B5B63F61F644","MS-S6-WORK-57D0B5B63F61F644","PROPAGATION_EVENTS.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5435219-05:00"
"BATCH-A-TXN-57E5D219A51E5C5B","MS-S6-WORK-57E5D219A51E5C5B","DOWNSTREAM_ASSESSMENTS.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5435219-05:00"
"BATCH-A-TXN-583F93133B7E5081","MS-S6-WORK-583F93133B7E5081","TRIAL_CASES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5435219-05:00"
"BATCH-A-TXN-5FB830632CC9D902","MS-S6-WORK-5FB830632CC9D902","DEPENDENCY_CHAINS.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5435219-05:00"
"BATCH-A-TXN-60B3AB525B48DAF6","MS-S6-WORK-60B3AB525B48DAF6","TRIAL_CASES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5435219-05:00"
"BATCH-A-TXN-6433A03DB1524DAF","MS-S6-WORK-6433A03DB1524DAF","DEPENDENCY_CHAINS.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5435219-05:00"
"BATCH-A-TXN-69378D52936241ED","MS-S6-WORK-69378D52936241ED","TRIAL_CASES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5435219-05:00"
"BATCH-A-TXN-6B38111223233C15","MS-S6-WORK-6B38111223233C15","DEPENDENCY_CHAINS.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5455304-05:00"
"BATCH-A-TXN-6F6ABDA213157170","MS-S6-WORK-6F6ABDA213157170","SEMANTIC_ASSESSMENTS.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5455304-05:00"
"BATCH-A-TXN-78F6A83AD9ACA53C","MS-S6-WORK-78F6A83AD9ACA53C","TRIAL_CASES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5455304-05:00"
"BATCH-A-TXN-815279EFB2BC7C5A","MS-S6-WORK-815279EFB2BC7C5A","PROPAGATION_EVENTS.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5455304-05:00"
"BATCH-A-TXN-89494DBCB8913A39","MS-S6-WORK-89494DBCB8913A39","TRIAL_CASES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5455304-05:00"
"BATCH-A-TXN-8E2123E6C6D1873A","MS-S6-WORK-8E2123E6C6D1873A","TRIAL_CASES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5455304-05:00"
"BATCH-A-TXN-903E6C89ED5C12B6","MS-S6-WORK-903E6C89ED5C12B6","TRIAL_CASES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5455304-05:00"
"BATCH-A-TXN-96DDB2A4685FDE9F","MS-S6-WORK-96DDB2A4685FDE9F","SEMANTIC_ASSESSMENTS.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5455304-05:00"
"BATCH-A-TXN-9E5171F7CDCC79EF","MS-S6-WORK-9E5171F7CDCC79EF","DOWNSTREAM_ASSESSMENTS.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5455304-05:00"
"BATCH-A-TXN-A44B5E017D708522","MS-S6-WORK-A44B5E017D708522","TRIAL_CASES.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5475393-05:00"
"BATCH-A-TXN-A7315BBB3AF20166","MS-S6-WORK-A7315BBB3AF20166","DOWNSTREAM_ASSESSMENTS.csv","GOVERNED_DESIGN","UNRESOLVED","PROHIBITED_PENDING_GOVERNANCE","PRESERVED_UNRESOLVED","CARRY_FORWARD_PENDING_GOVERNANCE","OPEN","False","False","REVIEW_AND_FORMAL_DISPOSITION","Preserved unresolved because Stage 5 identified a governed-design decision requiring explicit governance authority.","REGISTERED_FOR_GOVERNANCE","2026-07-24T17:01:11.5475393-05:00"
