"TheoremID","StageNumber","StageName","StageStatus","StartedAt","CompletedAt","Executor","Reviewer","EvidenceReference","Notes"
"MS-T1","1","CASE_PREPARATION","NOT_STARTED","","","","","",""
"MS-T1","2","OBSERVER_REGISTRATION","NOT_STARTED","","","","","",""
"MS-T1","3","RESPONSE_COLLECTION","NOT_STARTED","","","","","",""
"MS-T1","4","SEMANTIC_ASSESSMENT","NOT_STARTED","","","","","",""
"MS-T1","5","ADJUDICATION","NOT_STARTED","","","","","",""
"MS-T1","6","METRIC_CALCULATION","NOT_STARTED","","","","","",""
"MS-T1","7","RESULT_DRAFTING","NOT_STARTED","","","","","",""
"MS-T1","8","DISPOSITION_REVIEW","NOT_STARTED","","","","","",""
"MS-T2","1","CHAIN_PREPARATION","NOT_STARTED","","","","","",""
"MS-T2","2","CASE_PREPARATION","NOT_STARTED","","","","","",""
"MS-T2","3","PAIR_VALIDATION","NOT_STARTED","","","","","",""
"MS-T2","4","CONTROLLED_EXECUTION","NOT_STARTED","","","","","",""
"MS-T2","5","PROPAGATION_REGISTRATION","NOT_STARTED","","","","","",""
"MS-T2","6","DOWNSTREAM_ASSESSMENT","NOT_STARTED","","","","","",""
"MS-T2","7","CORRECTION_ATTEMPT","NOT_STARTED","","","","","",""
"MS-T2","8","METRIC_CALCULATION","NOT_STARTED","","","","","",""
"MS-T2","9","RESULT_DRAFTING","NOT_STARTED","","","","","",""
"MS-T2","10","DISPOSITION_REVIEW","NOT_STARTED","","","","","",""
