"TheoremID","FileName","CollectionClass","Sequence","FieldName","IdentityField","EntryAuthority","Instruction","Required"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","1","ResponseID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","2","ObserverID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","3","CaseID","True","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","4","EntryCondition","False","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","True"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","5","ObserverClass","False","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","True"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","6","PriorExposure","False","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","True"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","7","SubmittedAt","False","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","True"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","8","ResponseText","False","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","True"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","9","SourceReferences","False","OBSERVED_EXECUTION_ONLY","Provide a traceable reference to the supporting controlled source or observation.","True"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","10","DeclaredUncertainty","False","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","True"
"MS-T1","OBSERVER_RESPONSES.csv","DIRECT_OBSERVATION","11","ResponseStatus","False","OBSERVED_EXECUTION_ONLY","Use only an authorized value defined by the trial procedure or data dictionary.","True"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","SEMANTIC_ASSESSMENT","1","AssessmentID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","SEMANTIC_ASSESSMENT","2","ResponseID","True","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","SEMANTIC_ASSESSMENT","3","PropertyID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","SEMANTIC_ASSESSMENT","4","PropertyClass","False","GOVERNED_ASSESSOR_JUDGMENT","Assess against the declared semantic criteria and cite the supporting response evidence.","True"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","SEMANTIC_ASSESSMENT","5","Compensability","False","GOVERNED_ASSESSOR_JUDGMENT","Assess against the declared semantic criteria and cite the supporting response evidence.","True"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","SEMANTIC_ASSESSMENT","6","AssessorID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","SEMANTIC_ASSESSMENT","7","AssessmentResult","False","GOVERNED_ASSESSOR_JUDGMENT","Use only an authorized value defined by the trial procedure or data dictionary.","True"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","SEMANTIC_ASSESSMENT","8","Materiality","False","GOVERNED_ASSESSOR_JUDGMENT","Assess against the declared semantic criteria and cite the supporting response evidence.","True"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","SEMANTIC_ASSESSMENT","9","EvidenceReference","False","GOVERNED_ASSESSOR_JUDGMENT","Provide a traceable reference to the supporting controlled source or observation.","True"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","SEMANTIC_ASSESSMENT","10","Rationale","False","GOVERNED_ASSESSOR_JUDGMENT","State the evidence-based rationale. Preserve uncertainty and contradictory observations.","True"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","SEMANTIC_ASSESSMENT","11","AdjudicationStatus","False","GOVERNED_ASSESSOR_JUDGMENT","Use only an authorized value defined by the trial procedure or data dictionary.","True"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","SEMANTIC_ASSESSMENT","12","FinalResult","False","GOVERNED_ASSESSOR_JUDGMENT","Use only an authorized value defined by the trial procedure or data dictionary.","True"
"MS-T1","TRIAL_CASES.csv","CASE_DEFINITION","1","CaseID","True","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T1","TRIAL_CASES.csv","CASE_DEFINITION","2","GovernedObjectID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T1","TRIAL_CASES.csv","CASE_DEFINITION","3","FrameworkID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T1","TRIAL_CASES.csv","CASE_DEFINITION","4","GoverningVersion","False","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","True"
"MS-T1","TRIAL_CASES.csv","CASE_DEFINITION","5","MaterialPropertyCount","False","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","True"
"MS-T1","TRIAL_CASES.csv","CASE_DEFINITION","6","CanonicalSource","False","GOVERNED_CASE_DESIGN","Provide a traceable reference to the supporting controlled source or observation.","True"
"MS-T1","TRIAL_CASES.csv","CASE_DEFINITION","7","DependencyIDs","False","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","True"
"MS-T1","TRIAL_CASES.csv","CASE_DEFINITION","8","AuthoritySource","False","GOVERNED_CASE_DESIGN","Provide a traceable reference to the supporting controlled source or observation.","True"
"MS-T1","TRIAL_CASES.csv","CASE_DEFINITION","9","UncertaintyState","False","GOVERNED_CASE_DESIGN","Complete from the governed trial design before execution begins.","True"
"MS-T1","TRIAL_CASES.csv","CASE_DEFINITION","10","CaseStatus","False","GOVERNED_CASE_DESIGN","Use only an authorized value defined by the trial procedure or data dictionary.","True"
"MS-T2","DEPENDENCY_CHAINS.csv","CHAIN_DEFINITION","1","ChainID","True","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T2","DEPENDENCY_CHAINS.csv","CHAIN_DEFINITION","2","ChainName","False","GOVERNED_DEPENDENCY_DESIGN","Define the canonical dependency relationship and expected propagation boundary.","True"
"MS-T2","DEPENDENCY_CHAINS.csv","CHAIN_DEFINITION","3","GoverningVersion","False","GOVERNED_DEPENDENCY_DESIGN","Define the canonical dependency relationship and expected propagation boundary.","True"
"MS-T2","DEPENDENCY_CHAINS.csv","CHAIN_DEFINITION","4","RootObjectID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T2","DEPENDENCY_CHAINS.csv","CHAIN_DEFINITION","5","TerminalObjectID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T2","DEPENDENCY_CHAINS.csv","CHAIN_DEFINITION","6","DependencyDepth","False","GOVERNED_DEPENDENCY_DESIGN","Define the canonical dependency relationship and expected propagation boundary.","True"
"MS-T2","DEPENDENCY_CHAINS.csv","CHAIN_DEFINITION","7","CorrectionAvailability","False","GOVERNED_DEPENDENCY_DESIGN","Define the canonical dependency relationship and expected propagation boundary.","True"
"MS-T2","DEPENDENCY_CHAINS.csv","CHAIN_DEFINITION","8","CanonicalSource","False","GOVERNED_DEPENDENCY_DESIGN","Provide a traceable reference to the supporting controlled source or observation.","True"
"MS-T2","DEPENDENCY_CHAINS.csv","CHAIN_DEFINITION","9","ChainStatus","False","GOVERNED_DEPENDENCY_DESIGN","Use only an authorized value defined by the trial procedure or data dictionary.","True"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","DOWNSTREAM_ASSESSMENT","1","AssessmentID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","DOWNSTREAM_ASSESSMENT","2","CaseID","True","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","DOWNSTREAM_ASSESSMENT","3","ObjectID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","DOWNSTREAM_ASSESSMENT","4","PropertyClass","False","GOVERNED_ASSESSOR_JUDGMENT","Assess the downstream effect against the declared dependency and propagation criteria.","True"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","DOWNSTREAM_ASSESSMENT","5","AssessorID","False","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","True"
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","DOWNSTREAM_ASSESSMENT","6","AssessmentResult","False","GOVERNED_ASSESSOR_JUDGMENT","Use only an authorized value defined by the trial procedure or data dictionary.","True"
