"TheoremID","FileName","CsvRow","Column","Issue"
"MS-T1","TRIAL_CASES.csv","2","AuthoritySource","REQUIRED_VALUE_MISSING"
"MS-T1","TRIAL_CASES.csv","2","CanonicalSource","REQUIRED_VALUE_MISSING"
"MS-T1","TRIAL_CASES.csv","2","DependencyIDs","REQUIRED_VALUE_MISSING"
"MS-T1","TRIAL_CASES.csv","2","FrameworkID","REQUIRED_VALUE_MISSING"
"MS-T1","TRIAL_CASES.csv","2","GovernedObjectID","REQUIRED_VALUE_MISSING"
"MS-T1","TRIAL_CASES.csv","2","GoverningVersion","REQUIRED_VALUE_MISSING"
"MS-T1","TRIAL_CASES.csv","2","MaterialPropertyCount","REQUIRED_VALUE_MISSING"
"MS-T1","TRIAL_CASES.csv","2","UncertaintyState","REQUIRED_VALUE_MISSING"
"MS-T2","DEPENDENCY_CHAINS.csv","2","CanonicalSource","REQUIRED_VALUE_MISSING"
"MS-T2","DEPENDENCY_CHAINS.csv","2","ChainName","REQUIRED_VALUE_MISSING"
"MS-T2","DEPENDENCY_CHAINS.csv","2","CorrectionAvailability","REQUIRED_VALUE_MISSING"
"MS-T2","DEPENDENCY_CHAINS.csv","2","DependencyDepth","REQUIRED_VALUE_MISSING"
"MS-T2","DEPENDENCY_CHAINS.csv","2","GoverningVersion","REQUIRED_VALUE_MISSING"
"MS-T2","DEPENDENCY_CHAINS.csv","2","RootObjectID","REQUIRED_VALUE_MISSING"
"MS-T2","DEPENDENCY_CHAINS.csv","2","TerminalObjectID","REQUIRED_VALUE_MISSING"
"MS-T2","TRIAL_CASES.csv","2","CorrectionEnabled","REQUIRED_VALUE_MISSING"
"MS-T2","TRIAL_CASES.csv","2","OriginalValue","REQUIRED_VALUE_MISSING"
"MS-T2","TRIAL_CASES.csv","2","SeededValue","REQUIRED_VALUE_MISSING"
"MS-T2","TRIAL_CASES.csv","2","SeedObjectID","REQUIRED_VALUE_MISSING"
"MS-T2","TRIAL_CASES.csv","2","SeedPropertyClass","REQUIRED_VALUE_MISSING"
"MS-T2","TRIAL_CASES.csv","3","CorrectionEnabled","REQUIRED_VALUE_MISSING"
"MS-T2","TRIAL_CASES.csv","3","DivergenceClass","REQUIRED_VALUE_MISSING"
"MS-T2","TRIAL_CASES.csv","3","OriginalValue","REQUIRED_VALUE_MISSING"
"MS-T2","TRIAL_CASES.csv","3","SeededValue","REQUIRED_VALUE_MISSING"
"MS-T2","TRIAL_CASES.csv","3","SeedObjectID","REQUIRED_VALUE_MISSING"
"MS-T2","TRIAL_CASES.csv","3","SeedPropertyClass","REQUIRED_VALUE_MISSING"
