"TheoremID","FileName","CsvRow","RecordIdentity","MissingField","EntryAuthority","Instruction","CompletionStatus"
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","CaseID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","DeclaredUncertainty","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","NOT_ENTERED"
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","EntryCondition","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","NOT_ENTERED"
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","ObserverClass","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","NOT_ENTERED"
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","ObserverID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","PriorExposure","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","NOT_ENTERED"
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","ResponseID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","ResponseStatus","OBSERVED_EXECUTION_ONLY","Use only an authorized value defined by the trial procedure or data dictionary.","NOT_ENTERED"
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","ResponseText","OBSERVED_EXECUTION_ONLY","Enter only what was directly observed during controlled execution. Do not infer missing facts.","NOT_ENTERED"
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","SourceReferences","OBSERVED_EXECUTION_ONLY","Provide a traceable reference to the supporting controlled source or observation.","NOT_ENTERED"
