"TheoremID","FileName","CsvRow","RecordIdentity","FieldName","EntryAuthority","CurrentValue","ProposedValue","SourceReference","CompletedBy","CompletedAt","ReviewStatus","Reviewer","ReviewDate","Notes","Instruction"
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","CaseID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","ObserverID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T1","OBSERVER_RESPONSES.csv","2","UNASSIGNED-ROW-2","ResponseID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AssessmentID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AssessorID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","PropertyID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","ResponseID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","AuthoritySource","GOVERNED_CASE_DESIGN","","","","","","NOT_COMPLETED","","","","Provide a traceable reference to the supporting controlled source or observation."
"MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","CanonicalSource","GOVERNED_CASE_DESIGN","","","","","","NOT_COMPLETED","","","","Provide a traceable reference to the supporting controlled source or observation."
"MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","DependencyIDs","GOVERNED_CASE_DESIGN","","","","","","NOT_COMPLETED","","","","Complete from the governed trial design before execution begins."
"MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","FrameworkID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GovernedObjectID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GoverningVersion","GOVERNED_CASE_DESIGN","","","","","","NOT_COMPLETED","","","","Complete from the governed trial design before execution begins."
"MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","MaterialPropertyCount","GOVERNED_CASE_DESIGN","","","","","","NOT_COMPLETED","","","","Complete from the governed trial design before execution begins."
"MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","UncertaintyState","GOVERNED_CASE_DESIGN","","","","","","NOT_COMPLETED","","","","Complete from the governed trial design before execution begins."
"MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","CanonicalSource","GOVERNED_DEPENDENCY_DESIGN","","","","","","NOT_COMPLETED","","","","Provide a traceable reference to the supporting controlled source or observation."
"MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","ChainName","GOVERNED_DEPENDENCY_DESIGN","","","","","","NOT_COMPLETED","","","","Define the canonical dependency relationship and expected propagation boundary."
"MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","CorrectionAvailability","GOVERNED_DEPENDENCY_DESIGN","","","","","","NOT_COMPLETED","","","","Define the canonical dependency relationship and expected propagation boundary."
"MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","DependencyDepth","GOVERNED_DEPENDENCY_DESIGN","","","","","","NOT_COMPLETED","","","","Define the canonical dependency relationship and expected propagation boundary."
"MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","GoverningVersion","GOVERNED_DEPENDENCY_DESIGN","","","","","","NOT_COMPLETED","","","","Define the canonical dependency relationship and expected propagation boundary."
"MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","RootObjectID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","TerminalObjectID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AssessmentID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AssessorID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","CaseID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T2","DOWNSTREAM_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","ObjectID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","CaseID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","DependencyEdgeID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","EventID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","SourceObjectID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T2","PROPAGATION_EVENTS.csv","2","UNASSIGNED-ROW-2","TargetObjectID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T2","TRIAL_CASES.csv","2","MS-T2-CASE-001-A","CorrectionEnabled","GOVERNED_CASE_DESIGN","","","","","","NOT_COMPLETED","","","","Complete from the governed trial design before execution begins."
"MS-T2","TRIAL_CASES.csv","2","MS-T2-CASE-001-A","OriginalValue","GOVERNED_CASE_DESIGN","","","","","","NOT_COMPLETED","","","","Complete from the governed trial design before execution begins."
"MS-T2","TRIAL_CASES.csv","2","MS-T2-CASE-001-A","SeededValue","GOVERNED_CASE_DESIGN","","","","","","NOT_COMPLETED","","","","Complete from the governed trial design before execution begins."
"MS-T2","TRIAL_CASES.csv","2","MS-T2-CASE-001-A","SeedObjectID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T2","TRIAL_CASES.csv","2","MS-T2-CASE-001-A","SeedPropertyClass","GOVERNED_CASE_DESIGN","","","","","","NOT_COMPLETED","","","","Complete from the governed trial design before execution begins."
"MS-T2","TRIAL_CASES.csv","3","MS-T2-CASE-001-B","CorrectionEnabled","GOVERNED_CASE_DESIGN","","","","","","NOT_COMPLETED","","","","Complete from the governed trial design before execution begins."
"MS-T2","TRIAL_CASES.csv","3","MS-T2-CASE-001-B","DivergenceClass","GOVERNED_CASE_DESIGN","","","","","","NOT_COMPLETED","","","","Complete from the governed trial design before execution begins."
"MS-T2","TRIAL_CASES.csv","3","MS-T2-CASE-001-B","OriginalValue","GOVERNED_CASE_DESIGN","","","","","","NOT_COMPLETED","","","","Complete from the governed trial design before execution begins."
"MS-T2","TRIAL_CASES.csv","3","MS-T2-CASE-001-B","SeededValue","GOVERNED_CASE_DESIGN","","","","","","NOT_COMPLETED","","","","Complete from the governed trial design before execution begins."
"MS-T2","TRIAL_CASES.csv","3","MS-T2-CASE-001-B","SeedObjectID","CONTROLLED_ID_ASSIGNMENT","","","","","","NOT_COMPLETED","","","","Assign a unique stable identifier. Do not reuse an existing identity."
"MS-T2","TRIAL_CASES.csv","3","MS-T2-CASE-001-B","SeedPropertyClass","GOVERNED_CASE_DESIGN","","","","","","NOT_COMPLETED","","","","Complete from the governed trial design before execution begins."
