AssessmentClassID,AssessmentClass,PrimaryCompetencies,RequiredFromRole,Status
MS-AC-001,ORIENTATION_ASSESSMENT,"C01 | C02",PR1,CANONICAL
MS-AC-002,KNOWLEDGE_ASSESSMENT,"C01 | C02 | C03",PR2,CANONICAL
MS-AC-003,INTERPRETATION_ASSESSMENT,"C04 | C08",PR2,CANONICAL
MS-AC-004,DEPENDENCY_ASSESSMENT,"C03 | C11",PR2,CANONICAL
MS-AC-005,APPLICATION_ASSESSMENT,"C08 | C12 | C13",PR3,CANONICAL
MS-AC-006,PROVENANCE_ASSESSMENT,"C05 | C14",PR2,CANONICAL
MS-AC-007,UNCERTAINTY_ASSESSMENT,"C06 | C15",PR2,CANONICAL
MS-AC-008,AUTHORITY_ASSESSMENT,"C07 | C13",PR2,CANONICAL
MS-AC-009,DRIFT_DETECTION_ASSESSMENT,"C09 | C11",PR3,CANONICAL
MS-AC-010,RECONSTRUCTION_ASSESSMENT,"C09 | C10 | C14",PR5,CANONICAL
MS-AC-011,STEWARDSHIP_ASSESSMENT,"C10 | C12 | C14 | C15",PR5,CANONICAL
MS-AC-012,CONSTITUTIONAL_MAINTENANCE_ASSESSMENT,"C01 | C02 | C03 | C04 | C05 | C06 | C07 | C08 | C09 | C10 | C11 | C12 | C13 | C14 | C15",PR6,CANONICAL
